rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.616311	-0.574145	4.319109	0.000000	0.035972	0.252021	23615.887425	23832.797838
2	AG111	0.624242	0.283125	4.319109	0.000000	0.134444	0.252021	23264.119517	24135.853982
3	AG111	0.603515	-0.450793	4.319109	0.000000	0.020270	0.252021	22954.279530	24743.544459
4	AG111	0.618575	-0.240406	4.319109	0.000000	0.051459	0.252021	23936.125403	24001.436098
5	AG111	0.599239	-0.400536	4.319109	0.000000	0.013299	0.252021	23356.697872	24554.275985
6	AG111	0.627968	0.081665	4.319109	0.000000	0.035108	0.252021	23645.465879	23264.022670
7	AG111	0.629658	-0.596873	4.319109	0.000000	0.017865	0.252021	24016.926343	24135.189677
8	AG111	0.605984	-0.414374	4.319109	0.000000	0.017371	0.252021	22691.962761	23880.521333
9	AG111	0.632529	-0.078308	4.319109	0.000000	0.006306	0.252021	24053.191194	23766.717667
10	AG111	0.585384	-0.126362	4.319109	0.000000	0.055135	0.252021	23372.857856	24442.215850
1	AG112	0.756904	-0.022863	4.319109	0.000000	-0.046369	0.252021	23157.633610	24928.619411
2	AG112	0.844515	0.091878	4.319109	0.000000	0.025285	0.252021	23547.767486	23664.365035
3	AG112	0.790928	0.083401	4.319109	0.000000	-0.019185	0.252021	23311.495385	23961.245903
4	AG112	0.774514	-0.241370	4.319109	0.000000	-0.155405	0.252021	23597.362009	24697.284849
5	AG112	0.798087	0.013855	4.319109	0.000000	-0.054712	0.252021	23966.602631	23717.492991
6	AG112	0.815513	0.177019	4.319109	0.000000	-0.006773	0.252021	23773.703257	24064.579112
7	AG112	0.832074	0.171624	4.319109	0.000000	-0.015251	0.252021	23538.420749	24017.307939
8	AG112	0.765651	0.286963	4.319109	0.000000	-0.024607	0.252021	23153.898557	23842.917050
9	AG112	0.777150	-0.000135	4.319109	0.000000	-0.057532	0.252021	23402.215031	24603.036113
10	AG112	0.762033	-0.126588	4.319109	0.000000	-0.030324	0.252021	23516.835129	24552.406429
1	AG139	0.580186	0.064186	4.319109	0.000000	-0.002549	0.252021	23456.789641	24275.831340
2	AG139	0.631644	0.189132	4.319109	0.000000	0.089700	0.252021	22887.083957	23908.508819
3	AG139	0.561868	0.282711	4.319109	0.000000	0.021646	0.252021	23685.792843	24160.400689
4	AG139	0.587324	-0.094155	4.319109	0.000000	0.022757	0.252021	23529.079470	24064.444456
5	AG139	0.569914	0.327713	4.319109	0.000000	0.044600	0.252021	23394.838490	24526.104372
6	AG139	0.588331	0.196414	4.319109	0.000000	-0.036309	0.252021	23492.376900	23291.104789
7	AG139	0.585521	-0.085985	4.319109	0.000000	-0.035558	0.252021	23802.676397	24017.012023
8	AG139	0.613495	-0.151904	4.319109	0.000000	-0.006391	0.252021	22964.155381	24434.286216
9	AG139	0.578144	0.079044	4.319109	0.000000	-0.000331	0.252021	23598.587166	23857.942427
10	AG139	0.566450	-0.032382	4.319109	0.000000	-0.049541	0.252021	24392.859392	24045.901586
1	AG142	0.760925	0.361294	4.319109	0.000000	-0.021320	0.252021	23164.381724	24620.003777
2	AG142	0.743188	0.452498	4.319109	0.000000	-0.006954	0.252021	23614.404883	24443.391042
3	AG142	0.758007	0.401247	4.319109	0.000000	-0.014887	0.252021	23530.722461	23967.508018
4	AG142	0.813210	0.302205	4.319109	0.000000	0.042298	0.252021	23446.106575	24106.539210
5	AG142	0.797176	0.244509	4.319109	0.000000	0.102658	0.252021	23314.006392	24566.854215
6	AG142	0.769607	0.169295	4.319109	0.000000	0.106267	0.252021	23580.864540	24818.531980
7	AG142	0.725023	0.303704	4.319109	0.000000	0.067114	0.252021	23737.430478	25802.321878
8	AG142	0.818545	-0.033956	4.319109	0.000000	0.134068	0.252021	23289.202774	25053.735224
9	AG142	0.773794	0.236195	4.319109	0.000000	0.049771	0.252021	22881.717531	24453.571612
10	AG142	0.780030	0.407066	4.319109	0.000000	0.053289	0.252021	23682.695354	24763.170407
1	GD14	0.657258	0.044481	4.319109	0.000000	-0.093682	0.252021	23354.384159	24103.434442
2	GD14	0.601657	0.045886	4.319109	0.000000	-0.133893	0.252021	23436.559745	24846.397368
3	GD14	0.626535	-0.079576	4.319109	0.000000	-0.126562	0.252021	23342.529948	24158.490251
4	GD14	0.672796	-0.027999	4.319109	0.000000	-0.076084	0.252021	22723.300959	24754.899987
5	GD14	0.643458	0.130053	4.319109	0.000000	-0.076620	0.252021	23057.402992	23832.186391
6	GD14	0.613018	-0.066348	4.319109	0.000000	-0.128795	0.252021	23196.289835	24912.769932
7	GD14	0.622744	-0.019426	4.319109	0.000000	-0.131938	0.252021	23866.927581	24298.386481
8	GD14	0.639536	0.054909	4.319109	0.000000	-0.098690	0.252021	23747.431039	23932.401587
9	GD14	0.656171	-0.189500	4.319109	0.000000	-0.107409	0.252021	23596.217669	23907.708425
