rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.008064	-0.207147	0.000000	0.000000	0.064918	0.000000	0.009539	-0.036979
2	AG111	-0.020225	-0.169024	0.000000	0.000000	0.062402	0.000000	0.014005	-0.022266
3	AG111	0.014785	-0.798627	0.000000	0.000000	0.110816	0.000000	-0.008891	-0.006781
4	AG111	-0.012881	-0.243505	0.000000	0.000000	0.153427	0.000000	0.014669	0.026835
5	AG111	-0.004584	-0.390275	0.000000	0.000000	-0.006014	0.000000	-0.007539	-0.008607
6	AG111	0.001155	-0.354533	0.000000	0.000000	0.051852	0.000000	-0.008719	0.016894
7	AG111	0.034504	-0.717754	0.000000	0.000000	0.018200	0.000000	-0.010625	0.023248
8	AG111	-0.002312	-0.259117	0.000000	0.000000	0.069075	0.000000	-0.013177	-0.007556
9	AG111	-0.001533	-0.047809	0.000000	0.000000	0.223228	0.000000	0.031515	-0.006166
10	AG111	-0.019601	-0.099902	0.000000	0.000000	0.043236	0.000000	-0.002321	0.011153
1	AG112	0.196744	-0.033951	0.000000	0.000000	0.019589	0.000000	0.002897	-0.003835
2	AG112	0.139828	-0.158331	0.000000	0.000000	-0.106026	0.000000	-0.031608	0.022272
3	AG112	0.105710	0.258424	0.000000	0.000000	-0.091517	0.000000	0.010486	-0.048585
4	AG112	0.171704	-0.349538	0.000000	0.000000	-0.019433	0.000000	-0.002703	-0.024910
5	AG112	0.167793	-0.252328	0.000000	0.000000	-0.118268	0.000000	0.000537	0.041160
6	AG112	0.126039	0.108740	0.000000	0.000000	-0.065236	0.000000	0.017600	0.049758
7	AG112	0.159746	-0.121547	0.000000	0.000000	-0.102581	0.000000	0.001236	-0.013056
8	AG112	0.165498	-0.015486	0.000000	0.000000	-0.099024	0.000000	0.008945	-0.026639
9	AG112	0.115560	-0.165730	0.000000	0.000000	-0.089391	0.000000	-0.022325	0.011291
10	AG112	0.147889	0.269756	0.000000	0.000000	-0.036910	0.000000	0.036129	0.037351
1	AG139	-0.048657	-0.179784	0.000000	0.000000	0.005896	0.000000	0.028467	-0.006030
2	AG139	-0.050364	-0.008067	0.000000	0.000000	0.001995	0.000000	0.003843	0.031015
3	AG139	-0.073710	-0.151383	0.000000	0.000000	0.076285	0.000000	0.019372	0.001417
