rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.025569	-0.009308	0.000000	0.000000	0.000000	0.000000
2	AG111	-0.030331	0.015208	0.000000	0.000000	0.000000	0.000000
3	AG111	-0.017548	0.024047	0.000000	0.000000	0.000000	0.000000
4	AG111	-0.034041	0.041784	0.000000	0.000000	0.000000	0.000000
5	AG111	-0.027070	0.004309	0.000000	0.000000	0.000000	0.000000
6	AG111	-0.054711	-0.069784	0.000000	0.000000	0.000000	0.000000
7	AG111	0.007264	-0.028116	0.000000	0.000000	0.000000	0.000000
8	AG111	-0.026836	0.053466	0.000000	0.000000	0.000000	0.000000
9	AG111	-0.074528	-0.011543	0.000000	0.000000	0.000000	0.000000
10	AG111	-0.036847	0.027307	0.000000	0.000000	0.000000	0.000000
1	AG112	0.137493	-0.001916	0.000000	0.000000	0.000000	0.000000
2	AG112	0.165996	0.050270	0.000000	0.000000	0.000000	0.000000
3	AG112	0.130219	-0.026491	0.000000	0.000000	0.000000	0.000000
4	AG112	0.132325	-0.027832	0.000000	0.000000	0.000000	0.000000
5	AG112	0.157370	-0.064279	0.000000	0.000000	0.000000	0.000000
6	AG112	0.118705	0.037125	0.000000	0.000000	0.000000	0.000000
7	AG112	0.093972	-0.095843	0.000000	0.000000	0.000000	0.000000
8	AG112	0.093236	-0.022441	0.000000	0.000000	0.000000	0.000000
9	AG112	0.143295	-0.133049	0.000000	0.000000	0.000000	0.000000
10	AG112	0.121685	-0.022347	0.000000	0.000000	0.000000	0.000000
1	AG139	-0.020868	-0.024325	0.000000	0.000000	0.000000	0.000000
2	AG139	-0.008932	-0.049570	0.000000	0.000000	0.000000	0.000000
3	AG139	-0.035179	0.069116	0.000000	0.000000	0.000000	0.000000
4	AG139	-0.082397	-0.001204	0.000000	0.000000	0.000000	0.000000
5	AG139	-0.084931	-0.054282	0.000000	0.000000	0.000000	0.000000
6	AG139	-0.054607	0.004629	0.000000	0.000000	0.000000	0.000000
7	AG139	-0.055414	-0.058559	0.000000	0.000000	0.000000	0.000000
8	AG139	-0.035188	-0.041901	0.000000	0.000000	0.000000	0.000000
9	AG139	-0.042689	0.017240	0.000000	0.000000	0.000000	0.000000
10	AG139	-0.065586	-0.091501	0.000000	0.000000	0.000000	0.000000
1	AG142	0.105595	-0.015785	0.000000	0.000000	0.000000	0.000000
2	AG142	0.127993	0.001157	0.000000	0.000000	0.000000	0.000000
3	AG142	0.110399	-0.034994	0.000000	0.000000	0.000000	0.000000
4	AG142	0.095379	-0.017242	0.000000	0.000000	0.000000	0.000000
5	AG142	0.084559	0.160642	0.000000	0.000000	0.000000	0.000000
6	AG142	0.119469	-0.025246	0.000000	0.000000	0.000000	0.000000
7	AG142	0.100014	-0.011523	0.000000	0.000000	0.000000	0.000000
8	AG142	0.171247	0.034422	0.000000	0.000000	0.000000	0.000000
9	AG142	0.176958	0.031102	0.000000	0.000000	0.000000	0.000000
10	AG142	0.132743	0.001205	0.000000	0.000000	0.000000	0.000000
1	GD14	0.048662	0.052499	0.000000	0.000000	0.000000	0.000000
2	GD14	0.014970	0.004218	0.000000	0.000000	0.000000	0.000000
3	GD14	0.043847	-0.076079	0.000000	0.000000	0.000000	0.000000
4	GD14	0.006888	-0.036484	0.000000	0.000000	0.000000	0.000000
5	GD14	0.024661	0.102639	0.000000	0.000000	0.000000	0.000000
6	GD14	0.075710	-0.077543	0.000000	0.000000	0.000000	0.000000
7	GD14	0.038848	0.011724	0.000000	0.000000	0.000000	0.000000
8	GD14	0.028417	0.022607	0.000000	0.000000	0.000000	0.000000
9	GD14	-0.028886	0.043795	0.000000	0.000000	0.000000	0.000000
10	GD14	0.115699	-0.037536	0.000000	0.000000	0.000000	0.000000
1	GD15	0.052166	-0.113750	0.000000	0.000000	0.000000	0.000000
2	GD15	-0.019370	0.042929	0.000000	0.000000	0.000000	0.000000
3	GD15	-0.021167	0.013854	0.000000	0.000000	0.000000	0.000000
4	GD15	-0.021359	-0.049360	0.000000	0.000000	0.000000	0.000000
5	GD15	-0.066508	-0.040694	0.000000	0.000000	0.000000	0.000000
6	GD15	0.001418	0.054154	0.000000	0.000000	0.000000	0.000000
7	GD15	-0.034315	0.094839	0.000000	0.000000	0.000000	0.000000
8	GD15	0.012283	-0.010469	0.000000	0.000000	0.000000	0.000000
9	GD15	-0.025821	-0.005773	0.000000	0.000000	0.000000	0.000000
10	GD15	-0.043070	0.037299	0.000000	0.000000	0.000000	0.000000
1	GD16	-0.196874	-0.107393	0.000000	0.000000	0.000000	0.000000
2	GD16	-0.253053	0.060487	0.000000	0.000000	0.000000	0.000000
3	GD16	-0.251593	-0.119012	0.000000	0.000000	0.000000	0.000000
4	GD16	-0.225295	-0.034253	0.000000	0.000000	0.000000	0.000000
5	GD16	-0.208181	-0.052239	0.000000	0.000000	0.000000	0.000000
6	GD16	-0.206247	0.095352	0.000000	0.000000	0.000000	0.000000
7	GD16	-0.305364	-0.035982	0.000000	0.000000	0.000000	0.000000
8	GD16	-0.202041	0.007483	0.000000	0.000000	0.000000	0.000000
9	GD16	-0.254085	0.025193	0.000000	0.000000	0.000000	0.000000
10	GD16	-0.248140	0.029510	0.000000	0.000000	0.000000	0.000000
