rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.608168	0.212858	4.253772	5.200868	0.055526
2	AG111	0.569833	0.310697	4.321510	4.903503	0.117210
3	AG111	0.594535	0.170940	4.279755	4.893787	0.200354
4	AG111	0.602635	0.224466	4.095578	5.176421	0.245955
5	AG111	0.584126	0.331535	4.249395	4.822894	-0.026074
6	AG111	0.605583	0.331811	3.992823	4.843222	0.235241
7	AG111	0.560481	0.254935	4.371559	5.145884	0.144672
8	AG111	0.626540	0.250017	4.344988	5.176757	0.067334
9	AG111	0.601977	0.309867	3.953432	4.802370	0.108420
10	AG111	0.577267	0.293105	4.216907	5.118600	0.062076
1	AG112	0.783096	0.321415	4.129442	4.710300	0.291534
2	AG112	0.801578	0.334407	4.052834	4.965346	0.453473
3	AG112	0.754285	0.315653	4.269985	4.728560	0.236346
4	AG112	0.784656	0.264039	4.392462	5.048612	0.193049
5	AG112	0.783779	0.356876	4.215873	4.813765	0.238871
6	AG112	0.749008	0.448437	4.214020	5.106433	0.363969
7	AG112	0.758510	0.321908	4.048543	5.122588	0.267005
8	AG112	0.786045	0.299106	4.309535	4.869958	0.283975
9	AG112	0.745880	0.434804	4.277538	4.964276	0.297306
10	AG112	0.736265	0.349019	4.278488	5.003995	0.328294
1	AG139	0.581975	0.341373	4.139320	5.007543	0.237893
2	AG139	0.561903	0.250612	4.236233	4.911166	0.284747
3	AG139	0.550933	0.310789	4.259280	5.030257	0.305979
4	AG139	0.584997	0.364585	4.175681	4.972411	0.184074
5	AG139	0.568620	0.356147	4.274263	4.952907	0.118366
6	AG139	0.571241	0.346022	4.115620	5.056317	0.310371
7	AG139	0.582369	0.297202	4.311676	5.115719	0.277439
8	AG139	0.588949	0.380877	4.172027	5.045405	0.278329
9	AG139	0.613162	0.386128	4.050931	5.175477	0.256757
10	AG139	0.567558	0.307532	4.260445	4.986635	0.171895
1	AG142	0.763697	0.438271	4.261363	5.052183	0.248067
2	AG142	0.709211	0.459274	4.363001	5.031044	0.240756
3	AG142	0.777596	0.416065	4.296370	4.867584	-0.027741
4	AG142	0.795080	0.519554	4.111886	4.760039	0.204837
5	AG142	0.713135	0.441397	4.182589	4.813345	0.231163
6	AG142	0.762971	0.395161	4.190511	5.000930	0.328200
7	AG142	0.748698	0.387993	4.284640	4.892802	0.124531
8	AG142	0.732050	0.352783	4.120131	4.926168	0.279729
9	AG142	0.728399	0.483869	4.080655	5.115675	0.385568
10	AG142	0.704413	0.401210	4.209014	4.972250	0.241251
1	GD14	0.660788	0.247002	4.259351	4.744239	0.458945
2	GD14	0.624875	0.309242	4.488845	4.815501	0.259920
3	GD14	0.603560	0.347352	4.215955	5.346030	0.603560
4	GD14	0.619345	0.445968	4.248064	4.922122	0.389942
5	GD14	0.615839	0.352700	4.321661	4.857144	0.362497
6	GD14	0.622243	0.304109	4.083359	4.905255	0.653712
7	GD14	0.561028	0.319755	4.403452	4.635568	0.428862
8	GD14	0.640463	0.360219	4.143643	4.703521	0.384697
9	GD14	0.630475	0.356871	4.314810	4.792579	0.310621
10	GD14	0.603002	0.275405	4.202903	4.873811	0.600763
1	GD15	0.601814	0.277364	4.210419	4.956071	0.237222
2	GD15	0.585984	0.287513	4.154663	4.929344	0.128070
3	GD15	0.587414	0.295491	3.870296	5.024066	0.370660
4	GD15	0.618689	0.344795	4.157153	4.914598	0.172591
5	GD15	0.636451	0.401781	4.072613	4.989860	0.176216
6	GD15	0.626935	0.297555	4.485549	5.183454	0.026784
7	GD15	0.548419	0.286132	4.182877	4.877823	0.222018
8	GD15	0.576163	0.324605	4.087513	5.009175	0.351391
9	GD15	0.574325	0.294403	4.249930	4.819185	0.133604
10	GD15	0.599217	0.349568	4.209386	5.057791	0.267620
1	GD16	0.387428	0.418381	4.263600	5.131181	0.050942
2	GD16	0.381894	0.322493	4.264302	5.094662	0.101544
3	GD16	0.346811	0.383913	4.183492	4.985618	0.201094
4	GD16	0.319639	0.239172	4.462480	5.163165	0.281312
5	GD16	0.311418	0.362454	4.325571	5.083224	0.185593
6	GD16	0.448477	0.347398	4.119409	4.747542	0.083886
7	GD16	0.352200	0.312106	4.072663	5.105856	0.331936
8	GD16	0.381163	0.273719	4.186347	4.962306	0.234033
9	GD16	0.356903	0.322312	4.050223	4.858722	0.136234
10	GD16	0.365942	0.267271	4.141905	5.059243	0.214532
