rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.004748	-0.439761	0.065482	0.045319	-0.202999
2	AG111	-0.043083	-0.061569	0.133221	-0.013557	-0.141315
3	AG111	-0.018380	-0.659073	0.091465	-0.015540	-0.058171
4	AG111	-0.010280	-0.386664	-0.092712	0.040607	-0.012570
5	AG111	-0.028790	0.003346	0.061105	-0.030133	-0.284600
6	AG111	-0.007332	0.004178	-0.195467	-0.025927	-0.023284
7	AG111	-0.052434	-0.259380	0.183270	0.034690	-0.113853
8	AG111	0.013625	-0.278857	0.156698	0.040672	-0.191192
9	AG111	-0.010938	-0.064242	-0.234857	-0.034397	-0.150105
10	AG111	-0.035648	-0.119857	0.028617	0.029374	-0.196449
1	AG112	0.170181	-0.027653	-0.058848	-0.053755	0.033009
2	AG112	0.188663	0.011971	-0.135456	-0.001024	0.194948
3	AG112	0.141369	-0.045744	0.081695	-0.049886	-0.022179
4	AG112	0.171741	-0.224290	0.204172	0.015607	-0.065476
5	AG112	0.170863	0.077001	0.027584	-0.032027	-0.019654
6	AG112	0.136093	0.305381	0.025730	0.026994	0.105444
7	AG112	0.145595	-0.026122	-0.139747	0.030153	0.008479
8	AG112	0.173129	-0.099588	0.121245	-0.020421	0.025450
9	AG112	0.132965	0.274508	0.089248	-0.001239	0.038781
10	AG112	0.123350	0.054739	0.090198	0.006730	0.069769
1	AG139	-0.030940	0.032588	-0.048969	0.007439	-0.020632
2	AG139	-0.051012	-0.276480	0.047943	-0.011995	0.026222
3	AG139	-0.061982	-0.061273	0.070991	0.011964	0.047453
4	AG139	-0.027918	0.098372	-0.012609	0.000398	-0.074452
5	AG139	-0.044296	0.074957	0.085973	-0.003532	-0.140159
6	AG139	-0.041674	0.046115	-0.072670	0.017132	0.051845
7	AG139	-0.030546	-0.105976	0.123386	0.028811	0.018914
8	AG139	-0.023966	0.142090	-0.016262	0.014971	0.019804
9	AG139	0.000247	0.155782	-0.137359	0.040425	-0.001768
10	AG139	-0.045357	-0.071809	0.072156	0.003255	-0.086630
1	AG142	0.150782	0.282450	0.073073	0.016314	-0.010458
2	AG142	0.096296	0.329259	0.174711	0.012121	-0.017769
3	AG142	0.164681	0.230455	0.108080	-0.020909	-0.286267
4	AG142	0.182165	0.452583	-0.076404	-0.043251	-0.053688
5	AG142	0.100220	0.289557	-0.005701	-0.032115	-0.027362
6	AG142	0.150056	0.178906	0.002221	0.006117	0.069674
7	AG142	0.135783	0.160601	0.096350	-0.015742	-0.133994
8	AG142	0.119134	0.065466	-0.068159	-0.008945	0.021203
9	AG142	0.115483	0.381426	-0.107635	0.028802	0.127043
10	AG142	0.091498	0.194098	0.020724	0.000366	-0.017274
1	GD14	0.047872	-0.290992	0.071061	-0.046576	0.200420
2	GD14	0.011960	-0.066261	0.300555	-0.031667	0.001395
3	GD14	-0.009355	0.049952	0.027665	0.072847	0.345035
4	GD14	0.006430	0.299861	0.059774	-0.009767	0.131417
5	GD14	0.002924	0.065232	0.133371	-0.023056	0.103972
6	GD14	0.009328	-0.083001	-0.104931	-0.013200	0.395187
7	GD14	-0.051887	-0.032831	0.215162	-0.069748	0.170337
8	GD14	0.027548	0.086325	-0.044647	-0.055195	0.126172
9	GD14	0.017560	0.076986	0.126520	-0.036438	0.052096
10	GD14	-0.009914	-0.182145	0.014614	-0.019631	0.342238
1	GD15	-0.011101	-0.175055	0.022130	-0.002893	-0.021303
2	GD15	-0.026931	-0.139119	-0.033627	-0.008301	-0.130455
3	GD15	-0.025501	-0.111750	-0.317994	0.010733	0.112134
4	GD15	0.005774	0.042564	-0.031137	-0.011297	-0.085934
5	GD15	0.023536	0.195520	-0.115677	0.003901	-0.082309
6	GD15	0.014020	-0.104788	0.297259	0.041965	-0.231741
7	GD15	-0.064496	-0.143935	-0.005412	-0.018808	-0.036507
8	GD15	-0.036753	-0.017778	-0.100777	0.007764	0.092866
9	GD15	-0.038590	-0.115436	0.061640	-0.030902	-0.124921
10	GD15	-0.013698	0.056310	0.021096	0.017423	0.009095
1	GD16	-0.225487	0.236004	0.075311	0.031829	-0.207583
2	GD16	-0.231022	-0.024304	0.076013	0.024686	-0.156981
3	GD16	-0.266104	0.150029	-0.004798	0.003051	-0.057431
4	GD16	-0.293276	-0.323205	0.274190	0.038043	0.022787
5	GD16	-0.301497	0.092511	0.137281	0.022439	-0.072932
6	GD16	-0.164438	0.050083	-0.068881	-0.045880	-0.174639
7	GD16	-0.260716	-0.057044	-0.115627	0.026881	0.073411
8	GD16	-0.231752	-0.188285	-0.001943	-0.001636	-0.024492
9	GD16	-0.256012	-0.024868	-0.138067	-0.022731	-0.122291
10	GD16	-0.246973	-0.212125	-0.046385	0.017710	-0.043993
