parameter	value	se_sa	rse_sa
rhoS_pop	0.61309454238140293	0.04602643314677433	7.50723256612216261
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	4.00466927025436448	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.24980196554823156	nan	nan
omega_rhoS	0.11837724884531867	0.03343598961262035	28.24528356484321634
omega_deltaSC	0.23979653628974273	0.14663852733403671	61.15122828832500801
omega_deltaCB	0.08258703587773294	0.03390243122908050	41.05054851377860103
b1	0.16412275270071019	0.02158797896654325	13.15355647605454337
b2	0.17732387364215932	0.02310557735553454	13.03015599702143845
b3	0.27973361555316623	0.04910764202292706	17.55514507107696787
