rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.035003	-0.139145	-0.267508	0.076541	-0.001048
2	AG111	-0.039590	-0.171459	-0.092702	0.021077	-0.139415
3	AG111	-0.019570	-0.434540	-0.113835	0.015274	-0.102020
4	AG111	-0.052228	-0.363020	-0.172231	-0.028225	0.026737
5	AG111	0.028863	-0.115560	-0.022068	0.046786	-0.131529
6	AG111	0.009066	-0.253878	-0.200873	-0.007310	-0.052092
7	AG111	0.011804	-0.434680	-0.041395	0.044484	0.119072
8	AG111	0.020542	-0.372137	-0.099115	-0.049383	-0.208351
9	AG111	-0.021004	-0.357543	0.005197	-0.031137	-0.091319
10	AG111	-0.032001	-0.401527	-0.015693	0.004368	-0.122946
1	AG112	0.135035	0.204160	0.123494	-0.005129	-0.005644
2	AG112	0.139953	0.096196	0.302790	-0.002038	-0.057609
3	AG112	0.165562	0.233345	-0.004702	-0.021762	0.030594
4	AG112	0.143036	-0.227658	0.092659	-0.011701	-0.015107
5	AG112	0.145086	-0.131882	0.156788	-0.011842	-0.102026
6	AG112	0.159509	-0.062675	0.021789	-0.039187	-0.042070
7	AG112	0.115741	0.338809	0.009775	0.043840	0.099097
8	AG112	0.151489	-0.094068	0.034642	0.034510	0.040119
9	AG112	0.161805	-0.095000	0.222089	-0.060255	-0.188606
10	AG112	0.141766	0.008057	0.026438	-0.024460	-0.075987
1	AG139	-0.064698	-0.095199	-0.084700	0.016116	0.106200
2	AG139	0.001892	-0.010907	0.000419	0.024484	-0.108986
3	AG139	-0.077435	0.027792	-0.006826	0.022476	0.033260
4	AG139	-0.053813	0.268737	-0.005040	-0.016071	-0.121514
5	AG139	-0.024632	0.121819	-0.031662	0.071698	0.095175
6	AG139	-0.035536	0.391702	-0.213872	-0.031820	0.120686
7	AG139	-0.007298	-0.078906	0.054011	-0.018993	0.025417
8	AG139	0.005625	-0.252197	-0.051401	0.008949	0.097968
9	AG139	-0.046049	0.062523	-0.007687	-0.038238	-0.104126
10	AG139	-0.025923	0.305327	-0.131913	-0.048565	-0.065982
1	AG142	0.194839	0.376435	0.011144	0.023649	-0.011438
2	AG142	0.144451	0.298740	-0.110221	-0.021775	0.020365
3	AG142	0.148178	0.388997	-0.071286	-0.019756	-0.099504
4	AG142	0.118327	0.262871	-0.143137	-0.022920	-0.021077
5	AG142	0.164110	0.365252	0.015802	0.026627	-0.014979
6	AG142	0.138049	0.506625	-0.096833	0.044361	0.110247
7	AG142	0.168633	0.517455	0.068290	-0.024772	-0.096886
8	AG142	0.145923	0.372643	0.029217	0.018261	0.029913
9	AG142	0.158222	0.616586	-0.021648	0.047040	-0.109629
10	AG142	0.120830	0.300151	0.024895	-0.001256	0.029070
1	GD14	0.003557	0.004239	0.100493	-0.042137	0.195164
2	GD14	0.080534	0.050654	-0.157431	-0.020831	0.156052
3	GD14	0.030642	0.057029	0.181960	0.010541	0.134540
4	GD14	-0.003617	0.065398	-0.069735	-0.023362	0.196300
5	GD14	0.030636	0.495095	-0.138692	0.015488	0.201804
6	GD14	0.000239	-0.097520	0.051547	-0.089543	0.032706
7	GD14	-0.009464	0.142437	0.033824	-0.045425	0.071764
8	GD14	-0.008161	0.061039	0.189111	0.041784	0.208397
9	GD14	0.042446	0.060638	0.041443	-0.059693	0.053865
10	GD14	0.033273	0.108565	0.119293	-0.008905	0.129138
1	GD15	0.061921	-0.234974	-0.084203	0.028043	-0.214731
2	GD15	-0.021237	-0.065448	-0.142216	-0.055907	-0.032940
3	GD15	-0.056426	-0.224503	0.138922	-0.014592	-0.125896
4	GD15	-0.022552	-0.150191	-0.047265	-0.024595	0.017065
5	GD15	0.001474	0.186844	-0.124365	-0.017239	-0.055227
6	GD15	-0.047967	-0.186832	-0.216203	0.051774	0.142482
7	GD15	-0.049427	0.306674	0.077314	0.034338	-0.131435
8	GD15	0.007857	-0.170259	-0.057371	0.003093	-0.147449
9	GD15	0.026302	-0.002997	-0.074901	0.053680	0.029606
10	GD15	0.017849	-0.086242	0.031435	0.033216	-0.001487
1	GD16	-0.271705	0.065733	-0.097909	0.025745	-0.012580
2	GD16	-0.237756	-0.201110	-0.079401	0.014095	0.053668
3	GD16	-0.210000	-0.070469	-0.118882	-0.016739	-0.066314
4	GD16	-0.219498	-0.385749	-0.125839	0.012080	0.147353
5	GD16	-0.243625	0.014435	0.062662	-0.001177	-0.114836
6	GD16	-0.288707	-0.305016	-0.146437	-0.010269	0.049396
7	GD16	-0.244051	0.030781	0.054004	0.023688	0.060882
8	GD16	-0.228667	0.076887	-0.022637	-0.006173	-0.093762
9	GD16	-0.270081	0.026908	-0.004287	0.010492	-0.048057
10	GD16	-0.216530	0.035885	-0.247241	0.013682	-0.064219
