rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.046457	-0.400296	0.000000	0.162263	-0.083160	0.000000
2	AG111	-0.017050	-0.154541	0.000000	0.177587	-0.017737	0.000000
3	AG111	0.027879	-0.294640	0.000000	0.261704	-0.012447	0.000000
4	AG111	-0.016839	-0.331898	0.000000	0.356259	-0.013740	0.000000
5	AG111	0.039702	-0.430748	0.000000	0.171044	-0.058338	0.000000
6	AG111	0.031292	-0.539213	0.000000	0.300368	-0.032897	0.000000
7	AG111	-0.042211	-0.096641	0.000000	0.301516	-0.034387	0.000000
8	AG111	-0.097058	-0.195551	0.000000	0.465543	0.014625	0.000000
9	AG111	-0.009774	-0.179999	0.000000	0.244937	-0.026150	0.000000
10	AG111	-0.004649	0.002746	0.000000	0.173179	-0.047431	0.000000
1	AG112	0.141158	0.276923	0.000000	0.646149	0.036893	0.000000
2	AG112	0.058338	0.111027	0.000000	0.648437	0.002561	0.000000
3	AG112	0.117682	-0.142057	0.000000	0.486967	-0.047051	0.000000
4	AG112	0.169816	0.079986	0.000000	0.443333	-0.005638	0.000000
5	AG112	0.100962	-0.053375	0.000000	0.670662	0.008135	0.000000
6	AG112	0.154731	0.079596	0.000000	0.470819	-0.006720	0.000000
7	AG112	0.101468	0.057086	0.000000	0.543479	-0.022860	0.000000
8	AG112	0.137199	0.133832	0.000000	0.642754	0.007610	0.000000
9	AG112	0.115079	-0.043898	0.000000	0.715811	0.005376	0.000000
10	AG112	0.102187	0.011774	0.000000	0.730044	0.039602	0.000000
1	AG139	-0.028738	0.127554	0.000000	0.280018	-0.031441	0.000000
2	AG139	-0.030727	-0.041470	0.000000	0.409541	0.032804	0.000000
3	AG139	-0.008766	0.126893	0.000000	0.313755	0.002275	0.000000
4	AG139	-0.090795	0.182724	0.000000	0.189746	-0.035406	0.000000
5	AG139	-0.101661	0.229906	0.000000	0.571526	0.071456	0.000000
6	AG139	-0.021313	0.164138	0.000000	0.210003	-0.069703	0.000000
7	AG139	-0.056452	-0.078065	0.000000	0.378137	-0.002512	0.000000
8	AG139	-0.006486	0.098808	0.000000	0.227187	-0.028721	0.000000
9	AG139	-0.050457	-0.296608	0.000000	0.333749	-0.062033	0.000000
10	AG139	-0.054228	-0.016014	0.000000	0.524177	-0.013912	0.000000
1	AG142	0.172705	0.263682	0.000000	0.394143	-0.022900	0.000000
2	AG142	0.109456	0.509794	0.000000	0.538731	-0.021847	0.000000
3	AG142	0.160698	0.304504	0.000000	0.512041	0.032383	0.000000
4	AG142	0.160246	0.653894	0.000000	0.483344	0.039775	0.000000
5	AG142	0.168491	0.180315	0.000000	0.436578	-0.014079	0.000000
6	AG142	0.151785	0.530017	0.000000	0.492539	0.005269	0.000000
7	AG142	0.122039	0.527941	0.000000	0.421633	-0.020784	0.000000
8	AG142	0.171617	0.436784	0.000000	0.502826	0.048531	0.000000
9	AG142	0.200729	0.315158	0.000000	0.188751	-0.053564	0.000000
10	AG142	0.158934	0.310438	0.000000	0.436654	0.004869	0.000000
1	GD14	0.066783	-0.110592	0.000000	0.706237	0.004567	0.000000
2	GD14	0.015434	-0.390608	0.000000	0.864481	-0.010560	0.000000
3	GD14	0.000897	-0.310566	0.000000	0.802294	-0.012742	0.000000
4	GD14	-0.007969	-0.161013	0.000000	0.611582	-0.045477	0.000000
5	GD14	0.029327	-0.222753	0.000000	0.569459	-0.045529	0.000000
6	GD14	0.021023	-0.003013	0.000000	0.604316	-0.034122	0.000000
7	GD14	0.032606	0.146974	0.000000	0.716450	-0.011540	0.000000
8	GD14	0.007289	-0.354602	0.000000	0.858167	-0.006330	0.000000
9	GD14	0.005579	-0.035624	0.000000	0.595152	-0.042970	0.000000
10	GD14	0.007449	0.240308	0.000000	0.419813	-0.087726	0.000000
1	GD15	0.016309	-0.055291	0.000000	0.242289	-0.016932	0.000000
2	GD15	0.044191	-0.112808	0.000000	0.315302	-0.007267	0.000000
3	GD15	0.043567	0.150684	0.000000	0.093646	-0.027974	0.000000
4	GD15	0.008063	-0.238090	0.000000	0.241124	-0.058800	0.000000
5	GD15	-0.053566	0.104182	0.000000	0.336234	-0.003098	0.000000
6	GD15	0.012744	0.004572	0.000000	0.231375	0.000915	0.000000
7	GD15	-0.036665	-0.078405	0.000000	0.396174	0.024588	0.000000
8	GD15	-0.004806	0.110872	0.000000	0.199748	-0.027746	0.000000
9	GD15	-0.039696	0.146326	0.000000	0.127885	-0.044407	0.000000
10	GD15	-0.030727	0.065413	0.000000	0.367839	0.036576	0.000000
1	GD16	-0.206463	0.356701	0.000000	0.170844	-0.037817	0.000000
2	GD16	-0.270175	0.166030	0.000000	0.489871	0.065031	0.000000
3	GD16	-0.212861	0.325158	0.000000	0.377622	0.041446	0.000000
4	GD16	-0.238934	0.332126	0.000000	0.375866	0.065213	0.000000
5	GD16	-0.236193	0.328405	0.000000	0.219581	0.011618	0.000000
6	GD16	-0.234087	0.082459	0.000000	0.346338	-0.001562	0.000000
7	GD16	-0.231153	0.029907	0.000000	0.276624	0.006128	0.000000
8	GD16	-0.262336	-0.036983	0.000000	0.388825	0.035555	0.000000
9	GD16	-0.202130	0.239431	0.000000	0.231535	-0.027978	0.000000
10	GD16	-0.247402	0.133883	0.000000	0.201012	0.002974	0.000000
