rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.017264	-0.645909	-0.133579	-0.082600	-0.049575
2	AG111	-0.017086	-0.286373	-0.049384	-0.033118	-0.104439
3	AG111	-0.017108	-0.706685	0.027526	-0.009826	-0.000032
4	AG111	-0.002638	-0.286751	-0.167661	-0.044126	-0.012329
5	AG111	-0.029739	-0.251121	0.011671	-0.002827	-0.023113
6	AG111	0.051381	-0.632182	-0.023071	0.039226	-0.101262
7	AG111	0.001700	-0.677512	0.077881	0.057341	-0.005069
8	AG111	0.022835	-0.281974	-0.116375	0.098270	-0.012810
9	AG111	-0.015208	-0.690830	-0.020507	0.031204	-0.091290
10	AG111	-0.031257	-0.731324	-0.081864	-0.111761	0.064551
1	AG112	0.128024	0.068167	0.046683	-0.069810	-0.013859
2	AG112	0.148160	0.048235	0.044402	-0.022308	-0.004492
3	AG112	0.144079	-0.003108	0.053460	-0.048248	-0.033873
4	AG112	0.123942	0.000937	0.060796	-0.009570	0.049380
5	AG112	0.159014	0.121142	0.055901	-0.031543	0.065478
6	AG112	0.159583	0.019009	-0.102542	-0.025823	-0.100691
7	AG112	0.177384	-0.044077	-0.057973	-0.091243	0.019903
8	AG112	0.105333	0.134019	-0.106203	-0.143055	-0.098895
9	AG112	0.144877	-0.061926	-0.049235	0.000962	0.083174
10	AG112	0.144574	-0.019707	-0.086565	-0.038100	-0.006565
1	AG139	-0.021201	-0.352495	0.124807	-0.031757	-0.070526
2	AG139	-0.003700	-0.122272	-0.052891	0.017110	-0.011905
3	AG139	-0.053434	0.355687	-0.119857	0.060376	0.025422
4	AG139	-0.023415	-0.244821	0.057484	-0.015032	0.004793
5	AG139	-0.098787	-0.075999	0.157564	0.001119	-0.026875
6	AG139	-0.043681	0.197077	0.001989	-0.051064	-0.035755
7	AG139	-0.040623	0.142660	0.052221	0.126530	0.019203
8	AG139	-0.035067	0.400818	0.034436	-0.008614	-0.105521
9	AG139	-0.072705	0.124251	-0.088978	0.016914	0.122153
10	AG139	-0.071508	0.228714	0.096275	0.024000	-0.014299
1	AG142	0.183502	0.301341	-0.082870	0.074397	-0.104266
2	AG142	0.162423	0.193512	0.024221	-0.073878	-0.115235
3	AG142	0.125344	0.221154	0.069506	0.111346	0.074366
4	AG142	0.097261	0.293109	-0.061816	-0.043244	0.002346
5	AG142	0.170432	0.160105	0.026644	-0.015705	0.024139
6	AG142	0.137698	0.370004	0.026897	0.015854	0.000146
7	AG142	0.164593	0.383569	-0.001820	-0.025328	-0.070296
8	AG142	0.153477	0.154008	0.068783	0.041528	-0.008541
9	AG142	0.133418	0.616549	-0.065503	0.027192	-0.024588
10	AG142	0.148310	0.557177	-0.043512	0.019397	-0.044477
1	GD14	0.036175	-0.078142	-0.018653	-0.084975	0.086208
2	GD14	0.000886	0.167592	0.026116	-0.082775	0.053084
3	GD14	-0.025254	-0.000744	0.011345	-0.105936	0.098865
4	GD14	0.027903	0.215873	0.012657	-0.057497	0.015891
5	GD14	0.017817	0.027587	-0.062744	-0.042559	0.139654
6	GD14	0.036020	-0.123852	-0.024601	-0.110947	0.068024
7	GD14	-0.021228	-0.255285	-0.014237	-0.152018	0.086028
8	GD14	0.034129	0.321600	0.019707	-0.062579	-0.017465
9	GD14	0.050459	-0.168565	-0.023925	-0.013823	0.174659
10	GD14	0.053898	0.128950	0.125698	-0.085235	-0.029428
1	GD15	-0.021739	0.193895	-0.122201	-0.063378	-0.098965
2	GD15	-0.001808	0.002649	0.068811	0.048258	-0.045448
3	GD15	-0.031432	-0.079018	0.105182	-0.006521	0.005741
4	GD15	-0.021531	-0.202378	0.011216	0.041593	0.034533
5	GD15	0.013229	0.042015	-0.033653	0.007391	-0.042443
6	GD15	-0.038428	-0.020317	-0.074051	0.032004	-0.080218
7	GD15	-0.022039	0.100563	-0.044900	0.093796	-0.008271
8	GD15	-0.001049	-0.004490	-0.057291	0.122283	-0.039353
9	GD15	-0.008705	-0.218325	-0.120526	-0.014731	0.047960
10	GD15	-0.034038	-0.095680	-0.080074	-0.046698	-0.118494
1	GD16	-0.235928	0.103917	-0.004271	0.037353	-0.028688
2	GD16	-0.252928	-0.146676	-0.004595	0.071658	0.017352
3	GD16	-0.163839	-0.127417	-0.025133	0.034661	-0.103266
4	GD16	-0.252993	0.181524	-0.177392	0.021505	-0.026392
5	GD16	-0.244336	-0.081029	-0.040062	-0.004738	-0.118356
6	GD16	-0.231938	-0.133348	-0.069624	-0.034560	0.009800
7	GD16	-0.234003	0.450565	-0.006346	0.083916	-0.176865
8	GD16	-0.277411	0.148175	-0.143013	-0.085653	-0.116543
9	GD16	-0.211546	-0.275046	0.009659	-0.044755	-0.114368
10	GD16	-0.222813	-0.274588	-0.090218	-0.011895	-0.067868
