rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.616764	-0.192707	3.066301	0.000000	-0.116140	-0.189502	22760.351475	25477.188871
2	AG111	0.663769	-0.153688	3.066301	0.000000	-0.117281	-0.189502	23665.595083	24026.165734
3	AG111	0.623275	-0.433574	3.066301	0.000000	-0.133028	-0.189502	23279.984401	25740.048685
4	AG111	0.638898	-0.118774	3.066301	0.000000	-0.102388	-0.189502	23398.885875	24793.484645
5	AG111	0.600651	-0.303279	3.066301	0.000000	-0.186150	-0.189502	24049.486824	24819.900359
6	AG111	0.736411	0.004188	3.066301	0.000000	0.068282	-0.189502	23083.112037	26348.365739
7	AG111	0.626972	-0.111591	3.066301	0.000000	-0.153295	-0.189502	23136.741523	25577.466806
8	AG111	0.629503	-0.077845	3.066301	0.000000	-0.034921	-0.189502	24211.650154	24644.390210
9	AG111	0.660289	-0.577840	3.066301	0.000000	-0.123437	-0.189502	22814.430097	25777.170246
10	AG111	0.560174	-0.326401	3.066301	0.000000	-0.189480	-0.189502	23427.157417	25159.242228
1	AG112	0.797790	0.750775	3.066301	0.000000	-0.226338	-0.189502	24903.849820	25524.495268
2	AG112	0.756888	0.360176	3.066301	0.000000	-0.146466	-0.189502	23837.729504	24995.767887
3	AG112	0.791075	-0.053180	3.066301	0.000000	-0.253546	-0.189502	23330.268190	25727.779953
4	AG112	0.768979	0.039132	3.066301	0.000000	-0.240443	-0.189502	23426.006761	24209.820209
5	AG112	0.850649	0.053016	3.066301	0.000000	-0.187769	-0.189502	23455.617986	24510.015261
6	AG112	0.757197	0.713667	3.066301	0.000000	-0.196450	-0.189502	23750.776410	25208.270152
7	AG112	0.745494	-0.381485	3.066301	0.000000	-0.352324	-0.189502	23471.335533	25386.009734
8	AG112	0.755872	0.294988	3.066301	0.000000	-0.243318	-0.189502	24529.317943	26285.394305
9	AG112	0.772325	0.091658	3.066301	0.000000	-0.262550	-0.189502	22738.141509	24701.227094
10	AG112	0.752331	0.308463	3.066301	0.000000	-0.219505	-0.189502	23518.052351	24935.484554
1	AG139	0.616600	-0.063836	3.066301	0.000000	-0.155599	-0.189502	23894.478425	24603.120111
2	AG139	0.627305	0.091084	3.066301	0.000000	-0.147050	-0.189502	23319.850001	24236.795017
3	AG139	0.556299	-0.047176	3.066301	0.000000	-0.239800	-0.189502	24241.250307	24395.524569
4	AG139	0.606593	0.215919	3.066301	0.000000	-0.163608	-0.189502	23901.879268	25850.920629
5	AG139	0.622643	0.234942	3.066301	0.000000	-0.139706	-0.189502	23388.806203	25437.464401
6	AG139	0.643047	0.345866	3.066301	0.000000	-0.134432	-0.189502	23013.798878	24700.733943
7	AG139	0.553159	0.120058	3.066301	0.000000	-0.167685	-0.189502	24108.456284	24093.319687
8	AG139	0.610611	0.250606	3.066301	0.000000	-0.080222	-0.189502	23104.637337	25191.220504
9	AG139	0.576273	0.197713	3.066301	0.000000	-0.150460	-0.189502	24125.341120	24879.979201
10	AG139	0.608071	0.008619	3.066301	0.000000	-0.191686	-0.189502	24352.290207	25383.557630
1	AG142	0.757599	0.324815	3.066301	0.000000	-0.234633	-0.189502	23789.321567	25498.288705
2	AG142	0.758827	0.440214	3.066301	0.000000	-0.151324	-0.189502	23272.608591	26598.451780
3	AG142	0.743663	0.424130	3.066301	0.000000	-0.230343	-0.189502	24187.049881	24103.870318
4	AG142	0.750843	0.528368	3.066301	0.000000	-0.199497	-0.189502	22769.544686	24822.317098
5	AG142	0.769774	0.440565	3.066301	0.000000	-0.159563	-0.189502	23862.199297	25150.759662
6	AG142	0.768207	0.475838	3.066301	0.000000	-0.148056	-0.189502	23410.179226	25445.018054
7	AG142	0.748952	0.659558	3.066301	0.000000	-0.166077	-0.189502	24183.702507	25294.972572
8	AG142	0.769505	0.470288	3.066301	0.000000	-0.141189	-0.189502	23801.736578	25792.656099
9	AG142	0.716566	0.755978	3.066301	0.000000	-0.208601	-0.189502	23816.441351	24632.775834
10	AG142	0.815093	0.552669	3.066301	0.000000	-0.113912	-0.189502	23277.336018	25871.939575
1	GD14	0.615325	0.181144	3.066301	0.000000	-0.275061	-0.189502	23930.751524	24910.690647
2	GD14	0.603938	-0.038265	3.066301	0.000000	-0.336453	-0.189502	24405.942889	24683.110481
3	GD14	0.642901	0.092017	3.066301	0.000000	-0.313774	-0.189502	24274.973009	25010.502889
4	GD14	0.655524	0.161521	3.066301	0.000000	-0.293466	-0.189502	23452.527943	23838.266973
5	GD14	0.619011	0.358215	3.066301	0.000000	-0.288309	-0.189502	22949.088861	24944.366688
6	GD14	0.623623	-0.110424	3.066301	0.000000	-0.277137	-0.189502	23830.819373	24854.288143
7	GD14	0.638954	-0.162811	3.066301	0.000000	-0.346613	-0.189502	23849.020999	23981.856758
8	GD14	0.681577	0.144099	3.066301	0.000000	-0.257180	-0.189502	23108.626962	25668.460764
9	GD14	0.621623	0.015112	3.066301	0.000000	-0.291254	-0.189502	23648.496434	24539.163799
10	GD14	0.585466	0.281553	3.066301	0.000000	-0.308174	-0.189502	23723.368262	24288.282396
1	GD15	0.590771	0.213130	3.066301	0.000000	-0.140991	-0.189502	23777.055311	25212.727857
2	GD15	0.642732	0.135817	3.066301	0.000000	-0.117588	-0.189502	23365.972551	24996.357601
3	GD15	0.606875	-0.220973	3.066301	0.000000	-0.147070	-0.189502	23541.534154	25426.312984
4	GD15	0.629418	0.131664	3.066301	0.000000	-0.164619	-0.189502	24396.652858	24678.348124
5	GD15	0.590430	-0.033098	3.066301	0.000000	-0.135997	-0.189502	24459.650741	23727.095178
6	GD15	0.593328	0.062978	3.066301	0.000000	-0.192472	-0.189502	23940.855616	24631.717908
7	GD15	0.647194	0.013628	3.066301	0.000000	-0.119809	-0.189502	23249.042951	24028.908043
8	GD15	0.580601	-0.070903	3.066301	0.000000	-0.169970	-0.189502	23787.004905	24640.029973
9	GD15	0.651626	0.061851	3.066301	0.000000	-0.038914	-0.189502	24008.509051	26051.845369
10	GD15	0.616451	0.201130	3.066301	0.000000	-0.133362	-0.189502	24853.770287	24840.141055
1	GD16	0.424620	0.663844	3.066301	0.000000	-0.103201	-0.189502	23188.850791	24419.083695
2	GD16	0.454336	0.194971	3.066301	0.000000	-0.099643	-0.189502	23294.833825	25228.183264
3	GD16	0.446862	0.171226	3.066301	0.000000	-0.139204	-0.189502	23651.568680	24273.470897
4	GD16	0.407199	0.085912	3.066301	0.000000	-0.104315	-0.189502	23746.198837	25771.824744
5	GD16	0.412918	0.167749	3.066301	0.000000	-0.126925	-0.189502	24427.263240	24212.182160
6	GD16	0.368875	0.097088	3.066301	0.000000	-0.100080	-0.189502	23582.644737	24741.606506
7	GD16	0.389701	0.027404	3.066301	0.000000	-0.108256	-0.189502	23407.785857	24705.907845
8	GD16	0.384909	0.409953	3.066301	0.000000	-0.082821	-0.189502	24029.983235	25192.359670
9	GD16	0.472609	0.054186	3.066301	0.000000	-0.100940	-0.189502	23867.457928	25402.808340
10	GD16	0.377877	0.146752	3.066301	0.000000	-0.084844	-0.189502	23260.167412	25924.704050
