rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	0.003621	-0.158069	-0.090705	0.045015	-0.131180
2	AG111	-0.081119	-0.046283	-0.017362	-0.011615	-0.056631
3	AG111	-0.015961	-0.167798	0.013710	0.033227	-0.151361
4	AG111	0.010556	-0.146854	-0.159754	0.038950	-0.053820
5	AG111	0.003511	0.052831	-0.052885	0.034597	-0.071646
6	AG111	-0.043856	-0.197827	-0.041072	0.009011	0.071728
7	AG111	-0.033079	0.058948	-0.078706	0.030556	-0.065517
8	AG111	-0.034156	-0.296230	0.000411	0.066250	0.100235
9	AG111	-0.063893	-0.480065	0.013501	-0.027126	0.013572
10	AG111	-0.013291	-0.213088	-0.023003	0.007517	-0.154745
1	AG112	0.120122	0.076143	-0.079775	-0.003872	0.175289
2	AG112	0.124422	-0.190489	-0.040601	0.004571	0.102334
3	AG112	0.113587	-0.136896	0.069831	-0.039396	0.192305
4	AG112	0.120348	0.269731	-0.127562	-0.052622	0.101962
5	AG112	0.147072	-0.220130	0.034469	-0.043825	0.027158
6	AG112	0.181150	0.038815	-0.016343	0.010144	0.123517
7	AG112	0.121363	0.118184	0.118008	-0.008796	0.057169
8	AG112	0.136004	-0.323272	-0.008477	-0.045413	0.162213
9	AG112	0.130680	-0.332095	0.169249	-0.066339	0.073477
10	AG112	0.147113	-0.233328	0.054001	-0.032849	0.064848
1	AG139	-0.018681	-0.086924	0.039848	0.009899	-0.019645
2	AG139	-0.070853	0.080888	0.067180	0.029214	0.026044
3	AG139	-0.027585	0.190652	-0.046737	-0.034944	-0.074075
4	AG139	0.009474	-0.122071	-0.104733	-0.008510	0.083490
5	AG139	0.048180	-0.188270	0.023546	0.051466	0.047881
6	AG139	-0.084585	-0.173097	-0.048065	-0.030492	-0.002077
7	AG139	-0.022843	0.019326	-0.132618	-0.019974	0.077428
8	AG139	-0.002001	0.247906	-0.043894	0.001422	-0.076114
9	AG139	-0.056629	-0.290466	0.144702	-0.002828	0.066192
10	AG139	-0.063121	0.120295	0.050119	0.057160	0.111818
1	AG142	0.144637	0.428541	-0.078649	0.013253	-0.037918
2	AG142	0.143705	0.127022	0.099408	0.018165	-0.022425
3	AG142	0.137634	0.500248	0.082167	-0.020726	-0.115492
4	AG142	0.203705	0.406477	0.002519	0.046419	-0.095366
5	AG142	0.117388	0.348307	-0.029210	-0.021054	-0.007253
6	AG142	0.119533	0.398830	0.048266	0.070031	0.135251
7	AG142	0.099512	0.328022	0.100389	-0.010204	-0.053346
8	AG142	0.131583	0.470449	-0.037607	-0.029393	0.028166
9	AG142	0.113743	0.179175	-0.015675	-0.028893	-0.063964
10	AG142	0.131182	0.516043	-0.058934	0.011981	0.013427
1	GD14	0.001625	0.037432	-0.052053	-0.057908	0.228512
2	GD14	0.018067	-0.029240	-0.010475	-0.089679	0.158663
3	GD14	0.044640	-0.102465	-0.024740	-0.038166	0.182294
4	GD14	-0.002239	0.065850	0.061348	-0.036459	0.161320
5	GD14	0.041149	0.112974	-0.012045	-0.053858	0.153898
6	GD14	0.060864	0.312637	-0.025613	0.012376	0.223406
7	GD14	-0.008503	0.006263	0.096182	-0.104125	0.078427
8	GD14	0.054436	-0.154066	0.077525	0.003509	0.125695
9	GD14	0.003119	0.138047	-0.096685	-0.015017	0.235412
10	GD14	0.003730	0.149407	-0.049536	-0.019614	0.214391
1	GD15	0.013884	-0.084759	0.036894	0.014043	-0.136328
2	GD15	0.016258	0.282369	-0.138257	0.056372	-0.009479
3	GD15	0.003806	-0.118817	-0.121589	-0.015150	0.011969
4	GD15	-0.013364	-0.189813	0.127225	-0.006579	-0.069964
5	GD15	0.002869	-0.178308	0.063597	-0.081561	-0.096016
6	GD15	-0.048946	-0.359225	0.116507	0.043793	0.078416
7	GD15	-0.012319	0.129398	0.088968	0.035399	-0.167419
8	GD15	-0.046767	-0.110884	-0.042884	0.048864	0.100516
9	GD15	-0.027883	0.084102	-0.070044	0.077121	0.056779
10	GD15	-0.010987	0.113958	-0.080964	0.031814	0.032047
1	GD16	-0.257913	0.281524	-0.011081	-0.027820	-0.176946
2	GD16	-0.256560	-0.128740	-0.138143	0.082093	0.074460
3	GD16	-0.234237	-0.197188	0.019801	-0.003962	-0.047037
4	GD16	-0.245886	0.408899	0.058227	0.078638	-0.156367
5	GD16	-0.288322	-0.039054	-0.098780	-0.008584	0.117467
6	GD16	-0.175868	-0.187042	0.027734	-0.015884	-0.201616
7	GD16	-0.189368	-0.141327	0.022551	0.035011	-0.052315
8	GD16	-0.179935	0.087659	0.023244	0.026169	-0.188118
9	GD16	-0.223989	0.055147	-0.082408	-0.022880	-0.081133
10	GD16	-0.255889	0.413844	0.038826	-0.005902	-0.145307
