rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.573575	0.331306	3.909187	4.844988	0.221484
2	AG111	0.626953	0.179414	4.125808	4.832443	0.079812
3	AG111	0.594620	0.228015	3.973503	4.802427	0.213208
4	AG111	0.595424	0.238692	3.849261	4.682972	0.103191
5	AG111	0.639991	0.236846	3.809710	4.845977	0.052082
6	AG111	0.640390	0.271643	4.020921	4.844157	0.191830
7	AG111	0.641105	0.267164	4.087585	4.844212	0.072119
8	AG111	0.534904	0.277599	4.044639	5.064261	0.278297
9	AG111	0.603210	0.294107	4.028256	4.766794	0.103382
10	AG111	0.611520	0.253167	3.896477	4.829419	0.177302
1	AG112	0.723376	0.244465	4.095173	4.799335	0.456483
2	AG112	0.770851	0.303225	3.956884	4.488221	0.271283
3	AG112	0.700119	0.450961	3.955282	4.820569	0.467614
4	AG112	0.757891	0.309638	4.106138	4.880882	0.384257
5	AG112	0.751736	0.362587	3.956734	4.543519	0.399887
6	AG112	0.740433	0.303097	4.028515	4.789161	0.447280
7	AG112	0.731642	0.385207	4.009202	4.711096	0.481390
8	AG112	0.758432	0.341342	3.924853	4.612831	0.248682
9	AG112	0.769676	0.280485	4.230531	4.509033	0.267784
10	AG112	0.773388	0.390010	4.147248	4.557576	0.305881
1	AG139	0.564681	0.337264	3.925170	4.484127	0.248125
2	AG139	0.550731	0.332005	4.010950	4.657384	0.246844
3	AG139	0.615666	0.336577	3.944944	4.563484	0.250325
4	AG139	0.536105	0.514778	3.911635	4.814103	0.172625
5	AG139	0.577555	0.328881	4.005757	4.652892	0.260483
6	AG139	0.585352	0.393899	4.054278	4.482656	0.144018
7	AG139	0.555684	0.322771	3.887694	4.764037	0.276218
8	AG139	0.528827	0.451420	3.939106	4.693684	0.204148
9	AG139	0.583903	0.381337	3.969273	4.640907	0.143977
10	AG139	0.609824	0.300351	3.862965	4.930827	0.239893
1	AG142	0.751612	0.401958	4.100151	4.765800	0.273657
2	AG142	0.765447	0.471160	4.057994	5.097723	0.347264
3	AG142	0.766953	0.527038	4.021882	4.782308	0.091145
4	AG142	0.736314	0.449016	4.081676	4.605519	0.080060
5	AG142	0.742260	0.590353	3.910332	4.649554	0.256141
6	AG142	0.723613	0.464282	4.122473	5.180266	0.369067
7	AG142	0.763900	0.482115	3.879433	4.645807	0.143009
8	AG142	0.764030	0.478554	4.038217	4.800729	0.198956
9	AG142	0.743554	0.415218	3.938481	4.698015	0.378283
10	AG142	0.726264	0.468454	4.036658	4.597780	0.280139
1	GD14	0.656322	0.440531	3.971855	4.552181	0.449650
2	GD14	0.612003	0.330208	4.028649	4.932030	0.592050
3	GD14	0.651146	0.313400	3.994067	4.845974	0.487793
4	GD14	0.689280	0.291746	3.934313	4.784655	0.549549
5	GD14	0.593960	0.407867	3.995678	4.794990	0.400045
6	GD14	0.576471	0.344555	4.009868	4.768104	0.485987
7	GD14	0.612183	0.381316	4.050482	4.920290	0.476110
8	GD14	0.641539	0.335143	4.059423	4.825993	0.519995
9	GD14	0.631865	0.434581	3.939108	4.408323	0.283595
10	GD14	0.593135	0.274520	4.086142	4.744868	0.637704
1	GD15	0.588412	0.290037	3.940359	4.785895	0.330975
2	GD15	0.651616	0.302269	3.938806	4.773115	0.164400
3	GD15	0.610757	0.274346	3.861323	4.694364	0.266540
4	GD15	0.643627	0.343639	3.935043	4.441684	0.152706
5	GD15	0.577291	0.422653	3.952392	4.768302	0.150515
6	GD15	0.612590	0.255240	3.969808	4.737150	0.244403
7	GD15	0.606633	0.355036	3.997076	4.834026	0.244354
8	GD15	0.610394	0.418063	3.872664	4.955875	0.284589
9	GD15	0.607474	0.343684	3.997764	4.727848	0.058906
10	GD15	0.626657	0.326482	3.855775	4.794155	0.243467
1	GD16	0.441059	0.399437	3.939224	4.810312	0.048404
2	GD16	0.328639	0.424426	3.942828	4.488729	0.021595
3	GD16	0.405304	0.357989	3.974007	4.830520	0.112582
4	GD16	0.383227	0.410598	3.885999	4.728322	0.157805
5	GD16	0.439204	0.362199	4.092226	4.920365	0.153794
6	GD16	0.413501	0.456941	3.958595	4.853782	0.202869
7	GD16	0.348557	0.345862	3.917164	4.545185	0.075869
8	GD16	0.380827	0.360917	3.987211	4.553037	0.099325
9	GD16	0.360241	0.383155	4.010885	4.755937	0.143693
10	GD16	0.377812	0.310511	3.982058	4.613835	0.195805
