rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.039822	-0.047949	-0.082253	0.021930	-0.040817
2	AG111	0.013556	-0.661298	0.134368	0.019337	-0.182489
3	AG111	-0.018777	-0.421580	-0.017937	0.013106	-0.049094
4	AG111	-0.017973	-0.375816	-0.142179	-0.012082	-0.159110
5	AG111	0.026594	-0.383580	-0.181730	0.022134	-0.210220
6	AG111	0.026993	-0.246504	0.029481	0.021758	-0.070471
7	AG111	0.027708	-0.263131	0.096145	0.021769	-0.190183
8	AG111	-0.078493	-0.224814	0.053199	0.066193	0.015996
9	AG111	-0.010187	-0.167048	0.036816	0.005659	-0.158920
10	AG111	-0.001877	-0.316944	-0.094963	0.018711	-0.084999
1	AG112	0.109979	-0.351919	0.103733	0.012462	0.194181
2	AG112	0.157454	-0.136515	-0.034556	-0.054559	0.008981
3	AG112	0.086722	0.260389	-0.036158	0.016877	0.205312
4	AG112	0.144494	-0.115587	0.114698	0.029311	0.121955
5	AG112	0.138339	0.042273	-0.034707	-0.042313	0.137585
6	AG112	0.127036	-0.136939	0.037075	0.010340	0.184979
7	AG112	0.118245	0.102789	0.017762	-0.006095	0.219088
8	AG112	0.145035	-0.018108	-0.066588	-0.027173	-0.013620
9	AG112	0.156279	-0.214472	0.239090	-0.049932	0.005483
10	AG112	0.159991	0.115180	0.155808	-0.039224	0.043579
1	AG139	-0.048716	-0.030124	-0.066270	-0.055471	-0.014177
2	AG139	-0.062666	-0.045840	0.019510	-0.017561	-0.015458
3	AG139	0.002269	-0.032165	-0.046497	-0.037929	-0.011977
4	AG139	-0.077292	0.392745	-0.079805	0.015535	-0.089676
5	AG139	-0.035842	-0.055296	0.014317	-0.018526	-0.001819
6	AG139	-0.028045	0.125102	0.062837	-0.055799	-0.118284
7	AG139	-0.057713	-0.074048	-0.103746	0.005080	0.013916
8	AG139	-0.084570	0.261408	-0.052334	-0.009797	-0.058153
9	AG139	-0.029494	0.092692	-0.022167	-0.021105	-0.118325
10	AG139	-0.003573	-0.146041	-0.128476	0.039492	-0.022409
1	AG142	0.138215	0.145356	0.108710	0.005450	0.011355
2	AG142	0.152050	0.304207	0.066554	0.072779	0.084963
3	AG142	0.153556	0.416281	0.030442	0.008908	-0.171156
4	AG142	0.122917	0.256066	0.090236	-0.028760	-0.182242
5	AG142	0.128863	0.529729	-0.081109	-0.019244	-0.006161
6	AG142	0.110216	0.289501	0.131033	0.088841	0.106765
7	AG142	0.150503	0.327191	-0.112007	-0.020050	-0.119292
8	AG142	0.150633	0.319778	0.046777	0.012753	-0.063346
9	AG142	0.130157	0.177813	-0.052959	-0.008875	0.115981
10	AG142	0.112867	0.298447	0.045218	-0.030442	0.017837
1	GD14	0.042925	0.236989	-0.019585	-0.040409	0.187348
2	GD14	-0.001394	-0.051267	0.037209	0.039736	0.329748
3	GD14	0.037749	-0.103512	0.002627	0.022133	0.225491
4	GD14	0.075883	-0.175109	-0.057127	0.009399	0.287248
5	GD14	-0.019437	0.159951	0.004237	0.011556	0.137743
6	GD14	-0.036926	-0.008738	0.018428	0.005934	0.223686
7	GD14	-0.001214	0.092638	0.059041	0.037352	0.213808
8	GD14	0.028142	-0.036433	0.067983	0.018001	0.257694
9	GD14	0.018468	0.223390	-0.052332	-0.072521	0.021293
10	GD14	-0.020262	-0.235968	0.094702	0.001049	0.375402
1	GD15	-0.024985	-0.180983	-0.051081	0.009658	0.068673
2	GD15	0.038219	-0.139675	-0.052635	0.006984	-0.097902
3	GD15	-0.002640	-0.236601	-0.130118	-0.009652	0.004238
4	GD15	0.030230	-0.011400	-0.056398	-0.064982	-0.109596
5	GD15	-0.036106	0.195561	-0.039048	0.005975	-0.111787
6	GD15	-0.000807	-0.308788	-0.021632	-0.000579	-0.017899
7	GD15	-0.006764	0.021227	0.005636	0.019664	-0.017948
8	GD15	-0.003003	0.184640	-0.118776	0.044559	0.022288
9	GD15	-0.005923	-0.011268	0.006324	-0.002545	-0.203396
10	GD15	0.013261	-0.062618	-0.135665	0.011382	-0.018835
1	GD16	-0.172338	0.139066	-0.052217	0.014747	-0.213898
2	GD16	-0.284758	0.199745	-0.048612	-0.054446	-0.240706
3	GD16	-0.208093	0.029512	-0.017433	0.018939	-0.149720
4	GD16	-0.230170	0.166622	-0.105441	-0.002445	-0.104497
5	GD16	-0.174193	0.041203	0.100785	0.037368	-0.108508
6	GD16	-0.199896	0.273563	-0.032845	0.023743	-0.059432
7	GD16	-0.264840	-0.004951	-0.074277	-0.041947	-0.186433
8	GD16	-0.232570	0.037658	-0.004229	-0.040221	-0.162977
9	GD16	-0.253156	0.097448	0.019445	0.003379	-0.118608
10	GD16	-0.235585	-0.112771	-0.009382	-0.026956	-0.066496
