rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.590706	0.206973	6.241318	7.881405	0.124032
2	AG111	0.612375	0.215027	6.603935	7.791596	-0.028871
3	AG111	0.572730	0.230491	6.523869	8.041202	0.177917
4	AG111	0.620550	0.228175	6.634739	7.952905	0.135541
5	AG111	0.659422	0.177893	6.477719	7.930883	0.142436
6	AG111	0.588654	0.203676	6.478240	7.983895	0.222263
7	AG111	0.558197	0.235169	6.363699	7.911834	0.209023
8	AG111	0.605582	0.228481	6.440680	8.109465	0.185082
9	AG111	0.600313	0.233661	6.256616	8.080333	0.234353
10	AG111	0.596182	0.205621	6.544079	7.998432	0.025316
1	AG112	0.736874	0.416813	6.377570	7.753270	0.227215
2	AG112	0.731868	0.279243	6.325242	8.050309	0.417192
3	AG112	0.743606	0.284766	6.539826	7.960226	0.320748
4	AG112	0.795433	0.272135	6.633726	7.940070	0.212274
5	AG112	0.783496	0.371700	6.447710	7.835888	0.194040
6	AG112	0.739686	0.247047	6.630438	7.957730	0.397893
7	AG112	0.726077	0.318039	6.637241	7.951661	0.194326
8	AG112	0.760723	0.247461	6.548211	8.149203	0.407061
9	AG112	0.777023	0.318528	6.629678	7.854223	0.229894
10	AG112	0.791201	0.275586	6.482516	7.867105	0.250824
1	AG139	0.536696	0.256320	6.556375	7.967728	0.267885
2	AG139	0.570576	0.279827	6.666321	8.222108	0.238656
3	AG139	0.597318	0.330267	6.616431	8.070791	0.093919
4	AG139	0.583273	0.230282	6.495225	8.032831	0.285893
5	AG139	0.584701	0.245947	6.401882	7.806657	0.290003
6	AG139	0.540110	0.247640	6.431094	7.864052	0.291884
7	AG139	0.577034	0.234826	6.572081	8.046295	0.265090
8	AG139	0.573940	0.217326	6.540712	8.012291	0.328936
9	AG139	0.649005	0.300633	6.383494	7.843079	0.150585
10	AG139	0.575035	0.310362	6.544172	7.793768	0.106072
1	AG142	0.734388	0.351289	6.470472	7.821688	0.195660
2	AG142	0.788393	0.331206	6.407429	7.951624	0.367406
3	AG142	0.729869	0.328951	6.685782	8.016919	0.174578
4	AG142	0.737889	0.280415	6.362806	8.261264	0.290958
5	AG142	0.694609	0.285697	6.600345	7.848647	0.260805
6	AG142	0.767419	0.312116	6.623956	7.979800	0.075958
7	AG142	0.800310	0.365167	6.364724	7.887887	0.108630
8	AG142	0.743372	0.282011	6.475930	8.069035	0.288676
9	AG142	0.704142	0.259856	6.542050	7.982090	0.312006
10	AG142	0.766699	0.403205	6.512349	7.914453	0.155291
1	GD14	0.620029	0.248067	6.603352	7.999674	0.473475
2	GD14	0.606756	0.289077	6.576935	7.998115	0.490178
3	GD14	0.660862	0.246717	6.465230	7.744655	0.310697
4	GD14	0.612508	0.252150	6.410070	7.893029	0.468936
5	GD14	0.679927	0.218938	6.363874	7.784075	0.448347
6	GD14	0.671383	0.266142	6.431614	7.963458	0.388887
7	GD14	0.706009	0.226489	6.742787	8.017835	0.437359
8	GD14	0.608856	0.279265	6.544368	8.077411	0.472493
9	GD14	0.637326	0.205390	6.488362	7.628149	0.628314
10	GD14	0.585329	0.262654	6.329414	7.804611	0.540263
1	GD15	0.579508	0.260127	6.418470	7.980167	0.248533
2	GD15	0.596346	0.240301	6.544022	8.132685	0.293492
3	GD15	0.594886	0.189907	6.363044	7.996583	0.430184
4	GD15	0.615988	0.228002	6.407327	8.171511	0.300749
5	GD15	0.585785	0.190831	6.423950	7.889590	0.325928
6	GD15	0.552308	0.221260	6.435439	8.194538	0.260607
7	GD15	0.614485	0.268900	6.490283	7.841350	0.099755
8	GD15	0.567786	0.265307	6.413240	7.917473	0.294020
9	GD15	0.577129	0.262864	6.381647	7.985693	0.259510
10	GD15	0.617825	0.233341	6.624711	8.041476	0.266515
1	GD16	0.370125	0.304367	6.280143	7.947987	0.101240
2	GD16	0.384570	0.284101	6.401472	7.824443	0.118288
3	GD16	0.371016	0.237350	6.370296	7.738027	0.190670
4	GD16	0.384585	0.227206	6.434375	7.963481	0.268619
5	GD16	0.424967	0.203934	6.353848	7.690052	0.187627
6	GD16	0.425056	0.214037	6.549734	7.764764	0.205633
7	GD16	0.337097	0.235465	6.633154	8.055932	0.173869
8	GD16	0.353731	0.283189	6.373803	7.900923	0.276897
9	GD16	0.407808	0.349847	6.418254	8.161200	0.141309
10	GD16	0.410918	0.331564	6.429928	7.849601	0.096504
