rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.616510	0.268260	3.065257	3.477522	0.145181
2	AG111	0.603855	0.238994	3.175944	3.623871	0.228632
3	AG111	0.561348	0.386046	3.141854	3.631282	0.113467
4	AG111	0.621580	0.359447	3.075926	3.537353	0.215664
5	AG111	0.579205	0.393222	3.066717	3.593534	0.266845
6	AG111	0.592828	0.226126	3.023600	3.409953	0.132354
7	AG111	0.583374	0.315554	3.103505	3.830738	0.251507
8	AG111	0.629757	0.221845	3.083980	3.705166	0.167690
9	AG111	0.603323	0.278631	3.184160	3.964459	0.332218
10	AG111	0.576301	0.343893	3.122061	3.709674	0.269030
1	AG112	0.715951	0.466600	3.192702	3.164440	0.150784
2	AG112	0.767968	0.590131	3.008979	3.113496	0.210551
3	AG112	0.722370	0.462194	3.147303	3.379582	0.239967
4	AG112	0.743825	0.397833	3.247611	3.413665	0.247951
5	AG112	0.769052	0.506330	3.193936	3.639519	0.339639
6	AG112	0.746780	0.464818	3.348538	3.492828	0.228618
7	AG112	0.747535	0.377080	3.258338	3.496633	0.299068
8	AG112	0.720938	0.500308	3.156257	3.393697	0.291980
9	AG112	0.741401	0.454219	3.305657	3.546536	0.216550
10	AG112	0.737147	0.448300	3.349195	3.862920	0.287037
1	AG139	0.619559	0.531577	3.117551	3.663740	0.204484
2	AG139	0.552352	0.404074	3.158880	3.606227	0.215371
3	AG139	0.549093	0.420539	3.163717	3.818925	0.276193
4	AG139	0.593946	0.416342	3.073424	3.153798	0.129060
5	AG139	0.583026	0.388731	3.181067	3.717551	0.199618
6	AG139	0.602251	0.408219	3.186004	3.925654	0.215752
7	AG139	0.588253	0.438663	3.233750	3.729034	0.188289
8	AG139	0.544613	0.563062	2.985103	3.230027	0.198784
9	AG139	0.579542	0.438285	3.213830	3.765353	0.083516
10	AG139	0.553625	0.422510	3.112244	3.646200	0.228014
1	AG142	0.727706	0.551415	3.216499	3.768930	0.280850
2	AG142	0.764951	0.708481	3.044030	3.503048	0.181341
3	AG142	0.749209	0.622492	3.147957	3.560573	0.313169
4	AG142	0.768509	0.490885	3.145231	3.716377	0.201616
5	AG142	0.728768	0.637267	3.088728	3.413956	0.214211
6	AG142	0.751873	0.510076	3.389228	3.752781	0.187400
7	AG142	0.703446	0.614017	3.109683	3.797531	0.218736
8	AG142	0.737946	0.677084	3.109369	3.572001	0.210692
9	AG142	0.745087	0.632945	3.210189	3.811930	0.285931
10	AG142	0.746271	0.625447	3.327205	3.856265	0.210824
1	GD14	0.626738	0.395710	3.331236	3.468534	0.276729
2	GD14	0.636032	0.367697	3.294380	3.198397	0.264162
3	GD14	0.629355	0.362789	3.104250	3.037642	0.275145
4	GD14	0.637375	0.383026	3.267164	3.448788	0.330774
5	GD14	0.671192	0.406789	3.172186	3.266207	0.305193
6	GD14	0.610321	0.322319	3.137664	3.126084	0.364477
7	GD14	0.607987	0.463713	3.190754	3.277528	0.294331
8	GD14	0.574154	0.357255	3.246784	3.030072	0.302669
9	GD14	0.634471	0.404503	3.313274	3.551701	0.316760
10	GD14	0.602088	0.372605	3.302722	3.361648	0.369295
1	GD15	0.592253	0.312315	3.240327	3.947290	0.366277
2	GD15	0.607272	0.401296	3.144315	3.609153	0.259416
3	GD15	0.627538	0.391106	3.386146	3.680777	0.209602
4	GD15	0.585663	0.382873	3.042754	3.737297	0.256900
5	GD15	0.634203	0.455448	3.126135	3.380346	0.170491
6	GD15	0.612331	0.357145	3.030784	3.748349	0.384543
7	GD15	0.645657	0.348389	3.228985	3.758219	0.280416
8	GD15	0.615552	0.378253	3.158418	3.746147	0.244318
9	GD15	0.642856	0.415170	2.977094	4.093360	0.377962
10	GD15	0.599193	0.361331	3.254176	3.721876	0.216938
1	GD16	0.311970	0.376076	3.086367	3.555513	0.231908
2	GD16	0.366599	0.490644	3.242094	3.672230	0.110381
3	GD16	0.329098	0.464191	3.197801	3.561027	0.094641
4	GD16	0.372797	0.421038	3.358222	3.815008	0.216023
5	GD16	0.351701	0.414941	3.029240	3.451041	0.241938
6	GD16	0.399776	0.401046	3.041941	3.643504	0.071494
7	GD16	0.393765	0.377279	3.227108	3.864942	0.225819
8	GD16	0.373534	0.418679	3.262976	3.974956	0.201955
9	GD16	0.377744	0.357549	3.020354	3.702202	0.285959
10	GD16	0.370888	0.434120	3.126392	4.058213	0.219129
