parameter	value	se_sa	rse_sa
rhoS_pop	0.63260441388768995	0.09345088310488055	14.77240453170019308
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.05227634763786027	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	-0.19004316078559516	nan	nan
S0_pop	23453.20558768798218807	6046.90074814580293605	25.78283265175567252
T0_pop	25222.50314075729693286	3816.05561624111396668	15.12956741424569884
omega_rhoS	0.11796670158390252	0.03318890883900885	28.13413310145287483
omega_deltaSC	0.30495527083047685	0.33595255814367031	110.16453568052106959
omega_deltaCB	0.18954892339271118	0.08357891871330515	44.09358661465183360
omega_S0	0.02182344945865200	0.23706769609275244	1086.29800500564761023
omega_T0	0.01947589693513369	nan	nan
b1	0.16510070484291509	0.02959561723895377	17.92579702619228144
b2	0.17363289552069136	0.02447586537114034	14.09632967171455320
b3	0.28401152971580695	0.06744984827075033	23.74898242273589943
