rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.574025	-0.052425	3.065150	0.041422	-0.142495	-0.206444
2	AG111	0.541155	-0.126223	3.065150	0.194147	-0.048814	-0.206444
3	AG111	0.604821	-0.190438	3.065150	-0.524095	-0.360075	-0.206444
4	AG111	0.618446	0.414208	3.065150	-0.325077	-0.225873	-0.206444
5	AG111	0.568279	-0.121559	3.065150	0.253499	-0.039904	-0.206444
6	AG111	0.598355	-0.108973	3.065150	-0.175998	-0.156909	-0.206444
7	AG111	0.597959	-0.173660	3.065150	-0.044948	-0.154820	-0.206444
8	AG111	0.607099	0.165523	3.065150	-0.155961	-0.165982	-0.206444
9	AG111	0.593141	0.276783	3.065150	0.154083	-0.071901	-0.206444
10	AG111	0.626559	-0.469749	3.065150	0.282164	-0.087703	-0.206444
1	AG112	0.750041	0.369052	3.065150	-0.237343	-0.371772	-0.206444
2	AG112	0.741069	0.028042	3.065150	0.383663	-0.130880	-0.206444
3	AG112	0.728969	-0.159690	3.065150	0.115353	-0.233531	-0.206444
4	AG112	0.732955	0.240347	3.065150	0.051650	-0.188375	-0.206444
5	AG112	0.799620	0.120786	3.065150	0.001227	-0.201041	-0.206444
6	AG112	0.745472	-0.379872	3.065150	0.271022	-0.182309	-0.206444
7	AG112	0.759235	0.218517	3.065150	0.117242	-0.199586	-0.206444
8	AG112	0.730806	0.247026	3.065150	0.117030	-0.177948	-0.206444
9	AG112	0.731322	0.248543	3.065150	0.505220	-0.002707	-0.206444
10	AG112	0.751546	0.047986	3.065150	0.216991	-0.163571	-0.206444
1	AG139	0.559222	0.126246	3.065150	0.145779	-0.135755	-0.206444
2	AG139	0.539847	0.222371	3.065150	0.045179	-0.165185	-0.206444
3	AG139	0.584358	0.267728	3.065150	0.110647	-0.086601	-0.206444
4	AG139	0.592008	0.247723	3.065150	0.433480	0.023368	-0.206444
5	AG139	0.541941	0.179059	3.065150	0.256769	-0.060246	-0.206444
6	AG139	0.590395	0.317197	3.065150	0.008945	-0.146680	-0.206444
7	AG139	0.609051	0.033490	3.065150	0.156589	-0.129948	-0.206444
8	AG139	0.580751	0.083067	3.065150	0.437451	-0.016964	-0.206444
9	AG139	0.626786	0.104502	3.065150	0.051695	-0.161500	-0.206444
10	AG139	0.630864	-0.029705	3.065150	0.509745	0.045714	-0.206444
1	AG142	0.759191	0.715919	3.065150	-0.151937	-0.225072	-0.206444
2	AG142	0.791926	0.497861	3.065150	-0.224540	-0.213306	-0.206444
3	AG142	0.773145	0.500970	3.065150	0.391540	0.000794	-0.206444
4	AG142	0.731245	0.593517	3.065150	0.525753	0.006942	-0.206444
5	AG142	0.779565	0.341147	3.065150	0.339511	-0.062483	-0.206444
6	AG142	0.742363	1.106126	3.065150	0.123446	-0.120530	-0.206444
7	AG142	0.762735	0.408638	3.065150	0.372787	-0.026360	-0.206444
8	AG142	0.800399	0.381558	3.065150	0.256915	-0.036302	-0.206444
9	AG142	0.741311	0.506366	3.065150	0.209604	-0.126835	-0.206444
10	AG142	0.725817	0.253742	3.065150	-0.043757	-0.187602	-0.206444
1	GD14	0.617465	0.384029	3.065150	0.025502	-0.308358	-0.206444
2	GD14	0.585401	-0.281824	3.065150	0.274032	-0.281752	-0.206444
3	GD14	0.630163	-0.173832	3.065150	0.125145	-0.270788	-0.206444
4	GD14	0.596049	-0.060659	3.065150	0.422090	-0.153299	-0.206444
5	GD14	0.600566	0.173347	3.065150	0.303280	-0.210102	-0.206444
6	GD14	0.638934	-0.008370	3.065150	-0.019787	-0.304854	-0.206444
7	GD14	0.640352	0.088406	3.065150	-0.040814	-0.359971	-0.206444
8	GD14	0.549626	0.177657	3.065150	0.356278	-0.154809	-0.206444
9	GD14	0.634971	-0.480300	3.065150	0.534836	-0.146433	-0.206444
10	GD14	0.585224	-0.120840	3.065150	0.470126	-0.198186	-0.206444
1	GD15	0.633659	0.061956	3.065150	-0.042715	-0.117795	-0.206444
2	GD15	0.609611	-0.042878	3.065150	0.010847	-0.143264	-0.206444
3	GD15	0.627381	-0.232954	3.065150	0.355716	-0.053337	-0.206444
4	GD15	0.616754	-0.056927	3.065150	0.156486	-0.100690	-0.206444
5	GD15	0.604800	-0.152548	3.065150	0.420185	-0.016700	-0.206444
6	GD15	0.614247	-0.176183	3.065150	0.573801	0.110822	-0.206444
7	GD15	0.605564	0.004651	3.065150	0.029982	-0.124402	-0.206444
8	GD15	0.612397	0.282543	3.065150	-0.028602	-0.109854	-0.206444
9	GD15	0.583465	0.106446	3.065150	-0.105672	-0.265821	-0.206444
10	GD15	0.634332	0.043444	3.065150	-0.043166	-0.155280	-0.206444
1	GD16	0.394350	0.452594	3.065150	-0.025762	-0.103371	-0.206444
2	GD16	0.436131	0.117519	3.065150	0.203399	-0.026575	-0.206444
3	GD16	0.415770	-0.056897	3.065150	-0.102639	-0.191302	-0.206444
4	GD16	0.371917	0.130096	3.065150	0.191101	-0.034731	-0.206444
5	GD16	0.398680	0.154939	3.065150	0.293266	-0.003233	-0.206444
6	GD16	0.378411	0.252082	3.065150	-0.149900	-0.095712	-0.206444
7	GD16	0.363941	0.206903	3.065150	-0.352401	-0.218798	-0.206444
8	GD16	0.348718	-0.079954	3.065150	-0.034822	-0.180563	-0.206444
9	GD16	0.423803	-0.185094	3.065150	0.211717	-0.117860	-0.206444
10	GD16	0.368158	0.095524	3.065150	-0.071145	-0.129722	-0.206444
