rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.592290	0.219621	4.835574	5.862550	0.238630
2	AG111	0.607156	0.245525	5.023498	6.100454	0.132831
3	AG111	0.602954	0.151093	4.923031	6.180646	0.203689
4	AG111	0.607986	0.177697	5.079637	6.214563	0.128961
5	AG111	0.604545	0.197374	5.022836	5.878239	0.191223
6	AG111	0.572965	0.187919	5.186312	6.281576	0.173384
7	AG111	0.545190	0.247090	5.003157	6.060185	0.162105
8	AG111	0.591753	0.214211	4.933538	6.027647	0.133717
9	AG111	0.628123	0.186409	5.007007	6.126005	0.212812
10	AG111	0.625370	0.135241	5.183273	6.189951	0.197645
1	AG112	0.772331	0.334139	5.127212	6.016352	0.083703
2	AG112	0.736613	0.297834	5.096754	5.901841	0.480052
3	AG112	0.766000	0.330158	5.023331	6.220422	0.382201
4	AG112	0.722872	0.304047	5.143611	6.244070	0.293146
5	AG112	0.711481	0.316509	5.144718	6.106650	0.411287
6	AG112	0.717685	0.317897	5.104295	6.166773	0.442039
7	AG112	0.784694	0.273981	5.137114	6.021709	0.349326
8	AG112	0.709791	0.396795	5.150797	5.793812	0.292781
9	AG112	0.781302	0.356676	5.170249	6.131102	0.187501
10	AG112	0.773147	0.323259	4.987123	6.311882	0.331503
1	AG139	0.595379	0.232154	5.124945	6.072789	0.307746
2	AG139	0.534948	0.410067	5.152510	5.953072	0.210273
3	AG139	0.548882	0.270147	4.958246	6.047610	0.372427
4	AG139	0.585117	0.285893	5.042124	6.108039	0.229758
5	AG139	0.591402	0.348843	5.203686	6.187918	0.106774
6	AG139	0.555209	0.217358	5.013588	6.033887	0.200390
7	AG139	0.627022	0.366983	5.073710	6.330664	0.220210
8	AG139	0.607761	0.254960	5.121461	6.407071	0.264807
9	AG139	0.562384	0.371548	4.845183	6.002262	0.204162
10	AG139	0.562940	0.327876	5.011923	5.991472	0.200133
1	AG142	0.745157	0.380131	5.093269	6.008828	0.372597
2	AG142	0.738281	0.384749	5.070198	6.466188	0.450132
3	AG142	0.760711	0.432190	5.010424	6.040131	0.069389
4	AG142	0.782945	0.375429	4.944910	6.058772	0.193327
5	AG142	0.690343	0.452092	5.095267	6.067690	0.215688
6	AG142	0.755357	0.406258	5.023941	6.036366	0.199992
7	AG142	0.762998	0.520167	4.996397	6.155596	0.257998
8	AG142	0.794123	0.445791	4.966502	6.210837	0.254215
9	AG142	0.730848	0.405646	5.123455	5.698484	0.116351
10	AG142	0.710288	0.473686	5.103121	6.205813	0.239275
1	GD14	0.634483	0.297220	5.035810	6.077741	0.488556
2	GD14	0.619418	0.314423	5.126724	5.969783	0.401733
3	GD14	0.636998	0.191910	5.023188	6.085183	0.489320
4	GD14	0.665858	0.246798	5.040910	6.237121	0.546464
5	GD14	0.647764	0.255951	5.112930	6.036660	0.525890
6	GD14	0.580560	0.285604	4.944332	5.693772	0.441195
7	GD14	0.663412	0.241487	5.048687	6.092689	0.468871
8	GD14	0.652465	0.282798	5.156126	6.063037	0.474135
9	GD14	0.582064	0.332320	5.067008	5.837858	0.449715
10	GD14	0.636711	0.252120	5.011482	6.094036	0.427264
1	GD15	0.608384	0.338336	4.924021	5.948061	0.315925
2	GD15	0.608159	0.278643	5.058728	6.189128	0.358257
3	GD15	0.624146	0.381008	5.104271	6.349390	0.092120
4	GD15	0.589399	0.255982	5.180068	6.129169	0.188269
5	GD15	0.604669	0.208656	5.182441	5.808594	0.124151
6	GD15	0.636046	0.349734	5.003742	6.313493	0.110886
7	GD15	0.617509	0.273896	5.075497	6.355042	0.236270
8	GD15	0.591302	0.296683	4.902534	6.073924	0.267191
9	GD15	0.621545	0.264736	4.978174	6.288275	0.220852
10	GD15	0.592500	0.198853	4.889490	5.986773	0.355356
1	GD16	0.354520	0.247423	5.030315	6.037392	0.283558
2	GD16	0.394290	0.221722	5.058727	6.311326	0.375291
3	GD16	0.383338	0.233210	5.176525	6.096826	0.199616
4	GD16	0.416887	0.241689	5.064415	5.981157	0.120255
5	GD16	0.392692	0.318698	4.895141	6.110806	0.108393
6	GD16	0.382078	0.274007	5.115046	6.226520	0.203456
7	GD16	0.396001	0.313255	4.991042	6.284991	0.173386
8	GD16	0.417760	0.272962	4.955443	5.986222	0.264549
9	GD16	0.362891	0.423023	4.952859	5.981750	0.009142
10	GD16	0.316236	0.368237	5.031583	6.073760	0.042955
