rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.056510	-0.350801	-0.020074	0.011957	0.108594
2	AG111	-0.023972	-0.243211	-0.096537	-0.003252	-0.124803
3	AG111	-0.026400	-0.155304	-0.186217	-0.007769	-0.089362
4	AG111	-0.013926	0.027779	-0.004979	-0.012490	-0.186422
5	AG111	-0.045210	-0.050151	-0.086834	-0.022979	-0.175461
6	AG111	0.029393	-0.073927	-0.053938	-0.022274	-0.334078
7	AG111	-0.048134	0.128991	-0.113175	-0.000401	-0.135854
8	AG111	-0.005498	0.027696	0.155949	-0.022415	-0.365628
9	AG111	-0.024531	-0.217210	-0.072188	0.000786	0.081198
10	AG111	-0.029909	-0.244742	0.373693	0.006920	-0.089084
1	AG112	0.127002	0.053652	-0.277208	-0.022876	0.120868
2	AG112	0.140376	0.049941	-0.106185	-0.011386	-0.061729
3	AG112	0.137760	0.094977	0.040598	-0.011092	0.007305
4	AG112	0.149982	0.116384	-0.054242	-0.000666	-0.018259
5	AG112	0.129163	-0.013365	-0.225545	0.008462	0.101372
6	AG112	0.151892	-0.002006	0.080313	-0.013262	0.081150
7	AG112	0.099904	0.071527	-0.000963	-0.008772	0.159251
8	AG112	0.159324	0.094572	0.081595	0.028489	0.170728
9	AG112	0.092318	0.014418	-0.141958	-0.007690	0.109346
10	AG112	0.095539	0.070023	0.110889	-0.001482	0.077192
1	AG139	-0.063058	0.006207	0.307684	-0.008074	0.072917
2	AG139	-0.050002	0.064464	-0.031486	-0.012986	-0.107605
3	AG139	0.016350	0.147805	0.043702	0.003885	-0.042855
4	AG139	0.011833	-0.060151	-0.133363	0.001980	-0.090740
5	AG139	-0.074207	-0.125121	0.053474	-0.007132	0.060556
6	AG139	-0.011192	-0.110806	-0.119042	0.012742	0.122323
7	AG139	-0.080286	0.047977	-0.081274	0.015192	0.008219
8	AG139	-0.057726	0.133466	-0.262839	-0.012598	0.062906
9	AG139	-0.036891	0.161689	-0.096799	0.007102	-0.064081
10	AG139	-0.061306	-0.071607	0.288014	0.017753	0.018137
1	AG142	0.162378	0.023656	0.016436	-0.004370	-0.085458
2	AG142	0.145200	0.074679	0.042068	0.002336	-0.137144
3	AG142	0.157732	0.084059	0.095517	0.017787	-0.073150
4	AG142	0.138427	-0.014437	-0.103247	-0.013826	-0.028689
5	AG142	0.163360	0.062290	0.126759	-0.009429	-0.118721
6	AG142	0.113338	0.097102	-0.033390	0.030809	0.118646
7	AG142	0.144077	-0.103017	0.030862	0.024900	0.051249
8	AG142	0.147857	0.244813	0.148496	0.019667	-0.021930
9	AG142	0.098990	0.267794	0.054795	-0.007116	0.027662
10	AG142	0.134537	-0.000179	-0.012097	-0.006087	-0.100009
1	GD14	0.052954	-0.059979	-0.058890	0.001803	0.178968
2	GD14	0.061514	-0.081868	-0.026316	0.011663	0.169038
3	GD14	0.039465	0.109395	0.156116	-0.002079	0.129850
4	GD14	0.033372	-0.084451	0.053806	-0.012781	0.221480
5	GD14	0.023163	-0.030058	0.130906	-0.000397	0.256746
6	GD14	0.009005	0.104093	0.032630	-0.004383	0.197422
7	GD14	-0.018080	0.083137	0.123196	0.010798	0.236126
8	GD14	0.013244	-0.112792	0.160816	-0.000559	0.154829
9	GD14	-0.020988	0.214514	0.243854	0.010634	0.212149
10	GD14	0.013012	-0.158635	-0.042370	-0.019036	0.123226
1	GD15	-0.003562	-0.041155	-0.178884	-0.007574	-0.047748
2	GD15	-0.027658	0.004200	-0.086604	0.024077	-0.035571
3	GD15	-0.012691	-0.196464	0.026936	0.002248	-0.028155
4	GD15	-0.004048	-0.146168	-0.104944	-0.015736	-0.064473
5	GD15	-0.014017	-0.035978	0.145710	0.005467	-0.060232
6	GD15	-0.007330	-0.103318	-0.243476	0.001547	0.089920
7	GD15	-0.002320	0.030284	-0.186276	-0.004721	-0.063791
8	GD15	-0.000087	0.285802	-0.153088	0.013525	-0.089410
9	GD15	-0.041958	0.153954	0.258289	0.008941	-0.096623
10	GD15	-0.027774	-0.051810	-0.159219	-0.011926	-0.046292
1	GD16	-0.222644	-0.118143	0.080908	-0.015066	-0.036165
2	GD16	-0.192377	0.010950	0.003889	0.021469	-0.051852
3	GD16	-0.220505	-0.106249	0.061472	0.010390	0.023724
4	GD16	-0.229748	0.109309	-0.018467	0.014558	-0.111946
5	GD16	-0.262215	0.136036	-0.347413	0.026911	-0.015824
6	GD16	-0.203849	0.014448	-0.174439	-0.005639	-0.048458
7	GD16	-0.159686	0.071042	0.074853	0.007064	-0.217829
8	GD16	-0.193577	-0.165184	0.245468	-0.011997	-0.105043
9	GD16	-0.234023	-0.032432	-0.090332	0.001559	-0.047561
10	GD16	-0.257631	0.141659	0.029505	0.011183	-0.091556
