rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.000268	-0.019752	0.000000	-0.064086	0.039455	-0.190675
2	AG111	-0.007672	-0.196591	0.000000	0.000811	-0.001386	-0.093682
3	AG111	-0.030081	-0.304284	0.000000	0.102758	0.014420	-0.060639
4	AG111	-0.053805	-0.141035	0.000000	-0.094437	-0.005947	-0.110937
5	AG111	-0.018073	-0.036617	0.000000	-0.211819	0.075495	0.037666
6	AG111	0.014397	-0.353788	0.000000	-0.130317	0.069787	0.003981
7	AG111	0.008554	-0.432644	0.000000	-0.105684	-0.041926	-0.174630
8	AG111	0.002453	0.064407	0.000000	-0.045775	-0.032189	-0.144501
9	AG111	-0.019091	-0.190212	0.000000	-0.148283	-0.014915	-0.081476
10	AG111	-0.009119	-0.459860	0.000000	-0.040458	0.029219	0.032267
1	AG112	0.170635	-0.204732	0.000000	0.093357	-0.059851	0.038662
2	AG112	0.154785	-0.105459	0.000000	-0.030111	-0.003323	-0.028952
3	AG112	0.117105	0.184873	0.000000	-0.059428	0.085572	0.072948
4	AG112	0.149054	0.178281	0.000000	-0.026855	0.020003	0.174642
5	AG112	0.123575	0.177467	0.000000	0.095698	0.029377	0.042522
6	AG112	0.121938	0.002841	0.000000	-0.011865	-0.075123	0.109871
7	AG112	0.172572	0.254357	0.000000	0.075191	-0.054219	-0.164198
8	AG112	0.110071	-0.548138	0.000000	0.101433	-0.026434	0.257413
9	AG112	0.148054	0.088190	0.000000	0.063558	0.040689	0.072247
10	AG112	0.132872	0.158872	0.000000	0.097716	0.092371	0.100771
1	AG139	-0.012986	0.005817	0.000000	0.015262	0.031723	0.050631
2	AG139	-0.053886	0.289660	0.000000	-0.082129	-0.017912	-0.094435
3	AG139	0.003778	-0.018775	0.000000	0.174129	0.052861	-0.081648
4	AG139	-0.090020	-0.036004	0.000000	0.028083	0.015451	0.089925
5	AG139	-0.000516	-0.088316	0.000000	-0.087358	-0.009583	0.082976
6	AG139	-0.035175	-0.092257	0.000000	-0.120777	0.018066	0.058050
7	AG139	-0.048690	-0.059237	0.000000	-0.013282	0.072577	0.123255
8	AG139	-0.054214	0.173140	0.000000	-0.216918	-0.058386	0.023231
9	AG139	-0.053699	0.178825	0.000000	0.058263	0.076359	-0.068305
10	AG139	0.005221	0.016013	0.000000	0.140435	0.042189	0.042162
1	AG142	0.106767	0.389970	0.000000	0.073664	0.031624	-0.052554
2	AG142	0.134626	0.394117	0.000000	0.114154	0.059505	-0.014115
3	AG142	0.114306	0.490200	0.000000	-0.033033	0.042019	0.062894
4	AG142	0.097662	0.044387	0.000000	0.076439	0.007054	0.096864
5	AG142	0.126500	0.279165	0.000000	0.027343	0.042080	-0.004586
6	AG142	0.235529	0.126787	0.000000	0.018176	0.102684	0.031233
7	AG142	0.148641	0.707666	0.000000	0.174012	0.071478	0.106754
8	AG142	0.187333	0.263581	0.000000	-0.108624	-0.056538	-0.053771
9	AG142	0.160110	0.234978	0.000000	0.026470	0.014886	0.052879
10	AG142	0.093106	0.300086	0.000000	0.005269	0.053731	-0.028888
1	GD14	0.003247	-0.084465	0.000000	0.035191	-0.039260	0.172627
2	GD14	0.051995	-0.189927	0.000000	0.167562	0.028008	0.254859
3	GD14	0.018574	-0.023186	0.000000	0.094597	-0.097730	0.086083
4	GD14	-0.010375	-0.189400	0.000000	0.348996	-0.013373	0.142949
5	GD14	0.027549	-0.191927	0.000000	0.123782	-0.055582	0.124819
6	GD14	0.007565	-0.061698	0.000000	-0.000858	-0.125678	0.121106
7	GD14	-0.030008	0.006650	0.000000	0.123206	-0.011117	0.154455
8	GD14	-0.003298	-0.081626	0.000000	-0.006803	-0.070972	0.170529
9	GD14	-0.030766	0.097192	0.000000	0.103732	-0.084589	0.046090
10	GD14	0.079349	-0.527409	0.000000	0.121131	-0.096614	0.064100
1	GD15	-0.035046	-0.181855	0.000000	-0.058634	0.047153	0.103374
2	GD15	0.027388	0.155055	0.000000	-0.010459	0.018389	-0.058838
3	GD15	-0.043591	-0.251057	0.000000	-0.008506	0.035654	0.061652
4	GD15	-0.029550	0.060546	0.000000	0.026298	0.021623	-0.079962
5	GD15	0.006379	-0.147139	0.000000	-0.011020	-0.047840	-0.207695
6	GD15	-0.043981	-0.286960	0.000000	-0.093729	-0.049171	0.029513
7	GD15	-0.047968	0.093158	0.000000	0.018552	-0.025318	-0.198894
8	GD15	0.039014	-0.067101	0.000000	0.064949	0.014275	-0.003797
9	GD15	0.005527	-0.064221	0.000000	-0.063212	-0.063068	-0.033092
10	GD15	-0.032402	-0.142285	0.000000	-0.029993	0.021140	-0.017229
1	GD16	-0.224705	0.085341	0.000000	-0.059859	0.069376	-0.098457
2	GD16	-0.253741	-0.083037	0.000000	0.072045	-0.040180	-0.170735
3	GD16	-0.246472	-0.114857	0.000000	-0.078142	0.044561	-0.032653
4	GD16	-0.251140	0.073229	0.000000	-0.206313	0.033457	-0.043587
5	GD16	-0.217885	-0.012546	0.000000	-0.172343	-0.046211	-0.117239
6	GD16	-0.236961	-0.144228	0.000000	0.015960	0.033845	0.009526
7	GD16	-0.205252	-0.229833	0.000000	0.011603	0.035259	0.020025
8	GD16	-0.227651	0.073528	0.000000	-0.122131	0.046787	-0.053509
9	GD16	-0.247709	0.023006	0.000000	-0.016784	0.043876	-0.003461
10	GD16	-0.215415	-0.188981	0.000000	-0.068725	0.038371	0.011915
