rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.040726	-0.439567	0.018019	0.061824	0.019200
2	AG111	-0.031688	-0.360064	0.091759	0.129518	0.003866
3	AG111	0.022189	-0.535310	-0.030969	0.125160	0.095047
4	AG111	-0.018626	-0.538016	-0.137558	0.010408	0.101438
5	AG111	-0.025504	-0.478652	0.038359	0.087445	-0.001010
6	AG111	0.007082	-0.249126	-0.216015	0.029256	0.018858
7	AG111	0.011457	-0.376778	0.051353	0.015237	-0.100168
8	AG111	-0.021034	-0.207292	-0.120180	-0.058484	-0.021271
9	AG111	0.000396	-0.353527	-0.012677	0.048973	-0.018387
10	AG111	0.006130	-0.375229	-0.087186	0.127449	0.073053
1	AG112	0.136262	0.099835	0.110865	0.041013	0.060702
2	AG112	0.142846	0.173411	-0.080483	-0.109913	-0.049517
3	AG112	0.088939	-0.445356	0.228269	-0.054325	0.079060
4	AG112	0.154326	0.348291	0.122155	-0.034584	-0.042532
5	AG112	0.097700	0.262924	0.175681	-0.002025	0.010529
6	AG112	0.185514	-0.180027	-0.053390	-0.094349	-0.033206
7	AG112	0.157085	-0.145835	0.068245	0.015854	-0.023072
8	AG112	0.192477	0.417670	-0.006684	0.055717	0.012286
9	AG112	0.174557	0.051156	-0.021462	0.008292	-0.048601
10	AG112	0.105783	0.240802	-0.046267	-0.086232	0.044579
1	AG139	-0.016090	0.353447	-0.008407	0.081960	-0.053412
2	AG139	0.001094	-0.202445	-0.082164	0.050835	0.051493
3	AG139	-0.063911	0.334347	-0.098816	-0.063733	0.027362
4	AG139	-0.016985	0.090152	0.089880	0.056482	-0.029896
5	AG139	-0.021195	-0.171645	0.124819	0.105317	-0.028109
6	AG139	0.009787	-0.170519	-0.083187	-0.012779	-0.042342
7	AG139	-0.064117	0.004080	-0.306303	-0.067705	-0.052127
8	AG139	-0.010823	0.069753	-0.061668	0.053076	0.069759
9	AG139	-0.082846	0.383616	0.064752	0.018163	-0.040726
10	AG139	-0.038783	0.212187	-0.023155	0.035807	-0.042272
1	AG142	0.150800	0.075800	-0.002282	0.022755	0.026692
2	AG142	0.142492	0.204575	0.085278	0.032086	-0.011258
3	AG142	0.148667	0.292336	-0.010010	0.019031	0.007387
4	AG142	0.131849	0.462324	-0.147090	-0.033934	-0.029377
5	AG142	0.106980	0.265579	0.131155	0.037519	-0.020570
6	AG142	0.187810	0.441721	0.079631	0.071000	0.019429
7	AG142	0.107006	0.365696	0.252233	0.105569	-0.013248
8	AG142	0.128331	0.383917	0.150874	0.049444	-0.020036
9	AG142	0.153071	0.456120	0.057352	0.030636	0.050969
10	AG142	0.144742	0.237670	-0.017615	0.018904	-0.079660
1	GD14	0.034948	-0.096079	-0.105554	-0.132194	0.085442
2	GD14	0.025934	-0.173148	0.086007	-0.041002	0.100070
3	GD14	0.006467	-0.112817	0.310164	-0.077615	0.011179
4	GD14	0.005051	-0.222278	0.346056	-0.026165	0.009962
5	GD14	-0.006705	-0.003692	0.087912	-0.103891	-0.030443
6	GD14	0.007568	-0.095952	-0.007742	-0.083074	0.064374
7	GD14	0.025808	-0.175891	0.135979	-0.082995	0.063572
8	GD14	0.053240	-0.351830	0.229448	-0.098291	-0.011091
9	GD14	0.018072	-0.355311	0.320029	-0.039733	0.008423
10	GD14	0.027359	-0.343744	0.246766	-0.084601	0.058975
1	GD15	0.040415	-0.171170	-0.008642	0.054508	-0.041390
2	GD15	0.048001	-0.006140	-0.272791	0.044993	-0.055355
3	GD15	-0.059517	-0.149580	0.083442	-0.030062	-0.007445
4	GD15	0.011455	0.028526	-0.200403	0.045612	-0.030977
5	GD15	-0.003358	-0.322125	0.182268	0.092266	0.019585
6	GD15	-0.025410	-0.178190	-0.119904	0.020127	0.051894
7	GD15	-0.020822	0.287878	-0.027526	0.099212	0.046495
8	GD15	-0.019069	-0.052208	0.009254	0.066061	0.111675
9	GD15	0.000781	-0.195845	-0.140474	-0.035918	-0.002366
10	GD15	0.023669	0.095400	-0.143249	0.036172	-0.038697
1	GD16	-0.264889	0.028651	-0.136536	0.077555	-0.020376
2	GD16	-0.232476	0.150414	0.021681	0.120105	0.016275
3	GD16	-0.225145	0.280499	-0.195868	0.060958	0.036175
4	GD16	-0.229228	-0.095908	-0.120772	-0.035581	-0.005112
5	GD16	-0.271558	0.003766	-0.009401	0.050229	0.061953
6	GD16	-0.220141	-0.261989	0.141343	0.018413	0.005213
7	GD16	-0.239452	-0.218668	-0.194956	0.031077	0.004916
8	GD16	-0.222839	-0.290058	0.102537	0.069928	-0.004361
9	GD16	-0.224359	0.002158	-0.031523	0.016186	-0.113381
10	GD16	-0.281899	0.122902	-0.238174	0.001879	-0.017928
