rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.558075	0.114224	6.142607	0.000000	0.000000	0.287575
2	AG111	0.590003	-0.660803	6.142607	0.000000	0.000000	0.287575
3	AG111	0.579401	-0.527349	6.142607	0.000000	0.000000	0.287575
4	AG111	0.575764	-0.400810	6.142607	0.000000	0.000000	0.287575
5	AG111	0.629432	-0.656513	6.142607	0.000000	0.000000	0.287575
6	AG111	0.579080	-0.442151	6.142607	0.000000	0.000000	0.287575
7	AG111	0.568834	-0.386569	6.142607	0.000000	0.000000	0.287575
8	AG111	0.566244	-0.420113	6.142607	0.000000	0.000000	0.287575
9	AG111	0.572945	-0.485143	6.142607	0.000000	0.000000	0.287575
10	AG111	0.546690	-0.115776	6.142607	0.000000	0.000000	0.287575
1	AG112	0.687355	0.159262	6.142607	0.000000	0.000000	0.287575
2	AG112	0.737077	0.010635	6.142607	0.000000	0.000000	0.287575
3	AG112	0.761581	0.125383	6.142607	0.000000	0.000000	0.287575
4	AG112	0.763567	0.151994	6.142607	0.000000	0.000000	0.287575
5	AG112	0.767198	-0.035888	6.142607	0.000000	0.000000	0.287575
6	AG112	0.724198	0.127547	6.142607	0.000000	0.000000	0.287575
7	AG112	0.782443	0.107951	6.142607	0.000000	0.000000	0.287575
8	AG112	0.762600	0.140875	6.142607	0.000000	0.000000	0.287575
9	AG112	0.731058	-0.016933	6.142607	0.000000	0.000000	0.287575
10	AG112	0.779717	-0.235731	6.142607	0.000000	0.000000	0.287575
1	AG139	0.509993	0.135186	6.142607	0.000000	0.000000	0.287575
2	AG139	0.547065	-0.153673	6.142607	0.000000	0.000000	0.287575
3	AG139	0.594619	0.042330	6.142607	0.000000	0.000000	0.287575
4	AG139	0.566582	-0.104731	6.142607	0.000000	0.000000	0.287575
5	AG139	0.554404	-0.016438	6.142607	0.000000	0.000000	0.287575
6	AG139	0.583667	-0.118667	6.142607	0.000000	0.000000	0.287575
7	AG139	0.568862	-0.129718	6.142607	0.000000	0.000000	0.287575
8	AG139	0.524978	-0.074005	6.142607	0.000000	0.000000	0.287575
9	AG139	0.557150	0.007119	6.142607	0.000000	0.000000	0.287575
10	AG139	0.586817	-0.384018	6.142607	0.000000	0.000000	0.287575
1	AG142	0.758230	0.091153	6.142607	0.000000	0.000000	0.287575
2	AG142	0.730725	0.331032	6.142607	0.000000	0.000000	0.287575
3	AG142	0.739056	0.232297	6.142607	0.000000	0.000000	0.287575
4	AG142	0.726127	0.502832	6.142607	0.000000	0.000000	0.287575
5	AG142	0.721424	0.201740	6.142607	0.000000	0.000000	0.287575
6	AG142	0.751943	0.093641	6.142607	0.000000	0.000000	0.287575
7	AG142	0.713352	-0.050324	6.142607	0.000000	0.000000	0.287575
8	AG142	0.746127	0.184772	6.142607	0.000000	0.000000	0.287575
9	AG142	0.751174	0.289582	6.142607	0.000000	0.000000	0.287575
10	AG142	0.755624	0.273852	6.142607	0.000000	0.000000	0.287575
1	GD14	0.692905	0.371709	6.142607	0.000000	0.000000	0.287575
2	GD14	0.697999	0.176205	6.142607	0.000000	0.000000	0.287575
3	GD14	0.678452	0.126576	6.142607	0.000000	0.000000	0.287575
4	GD14	0.616821	0.173178	6.142607	0.000000	0.000000	0.287575
5	GD14	0.692174	-0.079835	6.142607	0.000000	0.000000	0.287575
6	GD14	0.611032	0.399767	6.142607	0.000000	0.000000	0.287575
7	GD14	0.670711	0.146452	6.142607	0.000000	0.000000	0.287575
8	GD14	0.641716	0.254623	6.142607	0.000000	0.000000	0.287575
9	GD14	0.642332	0.183527	6.142607	0.000000	0.000000	0.287575
10	GD14	0.635978	0.318281	6.142607	0.000000	0.000000	0.287575
1	GD15	0.583615	-0.090575	6.142607	0.000000	0.000000	0.287575
2	GD15	0.614373	-0.300148	6.142607	0.000000	0.000000	0.287575
3	GD15	0.552870	0.034442	6.142607	0.000000	0.000000	0.287575
4	GD15	0.564781	-0.004622	6.142607	0.000000	0.000000	0.287575
5	GD15	0.583101	-0.080069	6.142607	0.000000	0.000000	0.287575
6	GD15	0.635530	0.007086	6.142607	0.000000	0.000000	0.287575
7	GD15	0.599191	0.026689	6.142607	0.000000	0.000000	0.287575
8	GD15	0.564243	-0.171450	6.142607	0.000000	0.000000	0.287575
9	GD15	0.608611	-0.386066	6.142607	0.000000	0.000000	0.287575
10	GD15	0.607232	-0.365064	6.142607	0.000000	0.000000	0.287575
1	GD16	0.393039	-0.182877	6.142607	0.000000	0.000000	0.287575
2	GD16	0.323870	-0.058947	6.142607	0.000000	0.000000	0.287575
3	GD16	0.348073	0.106072	6.142607	0.000000	0.000000	0.287575
4	GD16	0.364419	0.094039	6.142607	0.000000	0.000000	0.287575
5	GD16	0.350649	-0.305366	6.142607	0.000000	0.000000	0.287575
6	GD16	0.402596	0.018946	6.142607	0.000000	0.000000	0.287575
7	GD16	0.355164	0.091135	6.142607	0.000000	0.000000	0.287575
8	GD16	0.388670	-0.176819	6.142607	0.000000	0.000000	0.287575
9	GD16	0.363087	-0.037899	6.142607	0.000000	0.000000	0.287575
10	GD16	0.333219	-0.222692	6.142607	0.000000	0.000000	0.287575
