rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	-0.047084	-0.194636	0.000000	0.000000	0.180068	0.000000	0.024570	0.011249
2	AG111	-0.000340	-0.494868	0.000000	0.000000	0.060804	0.000000	-0.002771	-0.003449
3	AG111	0.023360	-0.657175	0.000000	0.000000	-0.038646	0.000000	0.015551	-0.003964
4	AG111	0.006793	0.123293	0.000000	0.000000	0.161699	0.000000	-0.006948	-0.018678
5	AG111	-0.054863	-0.238027	0.000000	0.000000	0.026682	0.000000	0.035396	-0.023841
6	AG111	-0.030446	-0.002769	0.000000	0.000000	0.017773	0.000000	-0.006686	0.000816
7	AG111	0.056696	-0.614521	0.000000	0.000000	-0.033792	0.000000	0.023801	-0.005918
8	AG111	-0.028429	-0.486946	0.000000	0.000000	0.177758	0.000000	0.002076	-0.015292
9	AG111	-0.065188	-0.002991	0.000000	0.000000	0.041603	0.000000	-0.025113	0.004260
10	AG111	0.034675	-0.593872	0.000000	0.000000	0.105684	0.000000	0.025318	-0.005135
1	AG112	0.169326	0.243362	0.000000	0.000000	0.003678	0.000000	-0.001972	0.014250
2	AG112	0.150214	0.429534	0.000000	0.000000	-0.109334	0.000000	0.014569	-0.067396
3	AG112	0.202294	0.114834	0.000000	0.000000	0.067643	0.000000	0.012485	0.007146
4	AG112	0.160835	0.077357	0.000000	0.000000	-0.098791	0.000000	-0.021822	-0.037134
5	AG112	0.087979	0.097110	0.000000	0.000000	-0.085925	0.000000	0.015476	0.009012
6	AG112	0.139003	0.009202	0.000000	0.000000	-0.004666	0.000000	0.011348	-0.039853
7	AG112	0.065634	-0.059651	0.000000	0.000000	-0.121999	0.000000	0.014247	-0.001972
8	AG112	0.145084	0.033659	0.000000	0.000000	-0.037403	0.000000	-0.003267	0.014584
9	AG112	0.104108	-0.048242	0.000000	0.000000	-0.095510	0.000000	0.014534	-0.003127
10	AG112	0.109998	-0.012387	0.000000	0.000000	-0.066923	0.000000	-0.003854	0.033331
1	AG139	-0.017176	-0.121926	0.000000	0.000000	-0.003898	0.000000	0.009954	0.005194
2	AG139	-0.046514	-0.069314	0.000000	0.000000	0.042933	0.000000	0.002553	0.007441
3	AG139	-0.077848	0.212004	0.000000	0.000000	-0.012116	0.000000	-0.027515	0.001662
4	AG139	0.004831	0.224827	0.000000	0.000000	0.039208	0.000000	0.000231	0.019395
5	AG139	-0.000450	0.153247	0.000000	0.000000	-0.022827	0.000000	-0.029981	0.011847
6	AG139	-0.048478	-0.077869	0.000000	0.000000	-0.031401	0.000000	0.008359	-0.006595
7	AG139	-0.025505	0.057298	0.000000	0.000000	0.096286	0.000000	0.002002	0.005592
8	AG139	-0.020925	0.076950	0.000000	0.000000	0.059624	0.000000	-0.017905	-0.025757
9	AG139	-0.067072	-0.061489	0.000000	0.000000	-0.019930	0.000000	-0.004922	-0.005825
10	AG139	-0.071316	0.086422	0.000000	0.000000	-0.045730	0.000000	-0.005839	0.013629
1	AG142	0.151602	0.210847	0.000000	0.000000	0.069677	0.000000	-0.026986	0.023770
2	AG142	0.109521	0.215792	0.000000	0.000000	0.011991	0.000000	0.012105	0.027756
3	AG142	0.162291	0.314580	0.000000	0.000000	0.126750	0.000000	-0.015368	0.019084
4	AG142	0.159732	0.408036	0.000000	0.000000	-0.029356	0.000000	0.028195	-0.032094
5	AG142	0.173543	0.485856	0.000000	0.000000	0.072011	0.000000	-0.007088	-0.002186
6	AG142	0.210013	0.132522	0.000000	0.000000	0.049589	0.000000	-0.011961	0.025667
7	AG142	0.085837	0.327324	0.000000	0.000000	-0.062209	0.000000	0.026931	-0.017981
8	AG142	0.140693	0.366072	0.000000	0.000000	0.108516	0.000000	0.007829	-0.004410
9	AG142	0.227281	0.224996	0.000000	0.000000	0.030589	0.000000	0.020611	0.015568
