rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22078.338879	23149.194992
2	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20503.871714	23275.018956
3	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	19645.415599	22437.070301
4	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22294.708070	27327.246638
5	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	25475.381662	20755.163669
6	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22651.024197	20789.612721
7	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22057.591979	20656.188978
8	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	19863.013077	21191.285867
9	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	21761.122104	26191.025467
10	AG111	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	24517.313840	22577.918587
1	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	31983.037448	31002.174306
2	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	30489.439842	32503.878097
3	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	30348.579946	32126.488672
4	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	28410.167386	28427.119050
5	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	27625.551473	34062.433596
6	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	29164.012407	30935.597376
7	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	27148.067580	31059.981463
8	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	28619.368677	28964.704723
9	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	28997.807521	34178.372470
10	AG112	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	33211.880377	27733.970536
1	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	19270.189143	25021.715434
2	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	23039.886695	23385.190073
3	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20535.124482	23691.170829
4	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20596.891643	24674.672291
5	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20227.210859	22544.249905
6	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22814.664004	23729.159653
7	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	28539.537318	23795.719137
8	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	21065.882480	23560.534724
9	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22504.132668	23409.019421
10	AG139	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20445.011408	23131.699333
1	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	27632.460534	28565.995842
2	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	29723.584208	31464.964251
3	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	30209.339645	30058.713986
4	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	29218.980636	27692.627266
5	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	29670.134369	33473.594673
6	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	30488.899431	28264.907424
7	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	31815.772522	35265.860313
8	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	25838.935874	29190.004058
9	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	28608.202771	31412.418755
10	AG142	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	33991.541128	31068.860904
1	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20315.726043	34984.323210
2	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	24988.820185	29974.737653
3	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20986.010445	31556.914744
4	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22056.094545	31957.172234
5	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	23664.310830	32206.181744
6	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	19714.979350	32548.630674
7	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	24856.801685	37632.590372
8	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	19295.999326	29312.136460
9	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	23445.648846	31547.690965
10	GD14	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	24184.253595	27373.552413
1	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	27580.289438	20496.086436
2	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22080.756319	22881.799861
3	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	23751.887834	25615.820276
4	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22953.034585	22877.250056
5	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	23708.264885	23543.232288
6	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	23423.992544	23405.132291
7	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22148.752043	24795.435276
8	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22289.166883	20877.869074
9	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	28908.562440	21761.090995
10	GD15	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	23697.712936	23166.974381
1	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20772.556692	22126.626447
2	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22578.378274	19151.396909
3	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	19049.251231	20162.198619
4	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	19203.703206	19354.618934
5	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20930.146911	18892.223761
6	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	21817.947771	18391.639855
7	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	16826.570325	19356.000718
8	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	20185.359941	19413.149115
9	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	14314.952382	18010.329015
10	GD16	0.643515	0.000000	3.142278	0.000000	0.000000	0.225949	22884.853754	18331.824556
