rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.613292	0.179021	7.905793	9.999316	0.020888
2	AG111	0.583018	0.206111	7.930647	9.914336	0.139933
3	AG111	0.604898	0.225831	7.794904	9.844155	0.359678
4	AG111	0.613936	0.205104	7.757130	9.851441	0.196068
5	AG111	0.591607	0.174874	8.051022	9.979094	0.258203
6	AG111	0.574252	0.194530	7.921889	9.901516	0.157471
7	AG111	0.565265	0.219413	8.129550	9.776855	0.173490
8	AG111	0.568245	0.152131	7.816635	9.914039	0.361070
9	AG111	0.593762	0.158735	8.147156	9.736552	0.116583
10	AG111	0.550616	0.189113	7.945574	9.888272	0.243335
1	AG112	0.756133	0.251841	7.948722	9.937564	0.386589
2	AG112	0.731276	0.250562	8.004743	9.908160	0.323135
3	AG112	0.757402	0.265788	8.146627	9.890993	0.286489
4	AG112	0.722467	0.214564	7.976659	9.693857	0.310463
5	AG112	0.764029	0.237570	7.965927	9.787765	0.269121
6	AG112	0.746563	0.243928	7.889344	9.802093	0.315962
7	AG112	0.741014	0.205429	8.087597	9.895074	0.349721
8	AG112	0.709453	0.268284	7.972791	9.885670	0.290898
9	AG112	0.701936	0.223358	8.063173	9.916505	0.512209
10	AG112	0.731749	0.290039	7.982985	9.850765	0.359192
1	AG139	0.548270	0.205147	7.894458	9.836184	0.323585
2	AG139	0.569772	0.255365	7.792945	9.627155	0.266999
3	AG139	0.521485	0.261626	7.869969	9.935464	0.288093
4	AG139	0.596663	0.217397	7.979667	9.821532	0.322280
5	AG139	0.503306	0.227106	7.768266	9.820236	0.425279
6	AG139	0.556367	0.276534	8.023645	9.739512	0.204835
7	AG139	0.584966	0.205863	8.017911	9.868650	0.293155
8	AG139	0.574667	0.212858	7.856449	10.075464	0.409773
9	AG139	0.567190	0.197100	8.071969	9.806971	0.331897
10	AG139	0.574916	0.265260	7.836424	9.888899	0.305719
1	AG142	0.745719	0.283731	7.659794	9.802920	0.313437
2	AG142	0.756478	0.306187	7.985282	9.943394	0.177243
3	AG142	0.793793	0.269521	7.963670	9.821254	0.208154
4	AG142	0.742495	0.316497	8.002939	9.858555	0.214217
5	AG142	0.745698	0.297299	8.092890	9.725672	0.102556
6	AG142	0.747280	0.308133	7.861601	9.935146	0.306826
7	AG142	0.722246	0.295243	7.785038	10.074302	0.358850
8	AG142	0.720170	0.303957	8.051778	9.924417	0.240880
9	AG142	0.750701	0.279044	8.123608	10.043804	0.257634
10	AG142	0.721472	0.260958	8.216035	9.995902	0.331584
1	GD14	0.666015	0.207937	7.889255	9.921286	0.636134
2	GD14	0.608972	0.210254	8.049019	9.880319	0.455167
3	GD14	0.608979	0.224208	7.951332	9.943471	0.489473
4	GD14	0.616625	0.213573	7.947774	9.902254	0.548878
5	GD14	0.621615	0.203245	8.041725	9.938231	0.585307
6	GD14	0.620754	0.244021	7.909080	9.808442	0.493378
7	GD14	0.608095	0.227014	8.089256	9.891679	0.388091
8	GD14	0.623249	0.217753	8.158787	9.905045	0.509729
9	GD14	0.609600	0.228338	7.982654	9.897291	0.534857
10	GD14	0.626153	0.225582	8.001966	9.783819	0.413345
1	GD15	0.615803	0.276458	7.961518	9.884925	0.105411
2	GD15	0.548064	0.212461	8.132735	9.940959	0.295154
3	GD15	0.634725	0.191959	7.903712	9.991672	0.251545
4	GD15	0.584938	0.205497	8.113782	9.746715	0.120263
5	GD15	0.623377	0.227468	7.883077	9.813417	0.251418
6	GD15	0.602330	0.204156	7.864381	9.846643	0.121032
7	GD15	0.575360	0.246703	7.949364	9.949623	0.261036
8	GD15	0.619676	0.264226	7.918761	10.047427	0.234585
9	GD15	0.581304	0.200183	7.753022	9.800757	0.348842
10	GD15	0.604781	0.197574	8.135425	9.859940	0.257971
1	GD16	0.394257	0.277138	7.889243	9.888259	0.145223
2	GD16	0.414674	0.198685	7.836267	9.776852	0.165508
3	GD16	0.356294	0.240803	8.151101	9.933738	0.216794
4	GD16	0.373150	0.203095	8.054600	9.797133	0.172960
5	GD16	0.365908	0.209408	8.107310	9.872419	0.314387
6	GD16	0.361810	0.225294	8.152673	9.931393	0.178726
7	GD16	0.371928	0.208422	7.958811	9.957755	0.317296
8	GD16	0.362030	0.205546	7.882119	9.852499	0.276909
9	GD16	0.383331	0.248734	8.000578	9.875411	0.090795
10	GD16	0.420939	0.229328	7.914957	9.953610	0.082799
