rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	0.022483	-0.427089	-0.134109	-0.000275	0.052028
2	AG111	-0.015761	-0.182885	-0.126119	-0.002811	-0.051198
3	AG111	0.003341	-0.349638	0.104005	0.007748	-0.267768
4	AG111	0.069933	-0.140185	-0.068463	0.013410	-0.056494
5	AG111	-0.002517	-0.228023	0.146808	0.020537	-0.125438
6	AG111	-0.024833	-0.172869	-0.185711	-0.003238	-0.074145
7	AG111	-0.047800	-0.171913	0.174182	0.001729	-0.162543
8	AG111	0.005532	-0.395693	-0.106712	0.003412	-0.072179
9	AG111	0.019179	-0.232016	0.121946	0.004598	-0.097708
10	AG111	0.002759	-0.204334	-0.029469	0.001309	-0.065017
1	AG112	0.128743	0.134310	0.120905	-0.000395	-0.000129
2	AG112	0.090695	0.047701	-0.075449	0.008533	0.159449
3	AG112	0.150675	-0.026878	-0.135461	0.011565	0.168934
4	AG112	0.135056	-0.181649	0.001062	-0.007282	0.138424
5	AG112	0.078374	0.348317	-0.114883	-0.006223	0.081603
6	AG112	0.182559	0.047602	-0.070783	-0.007035	-0.006058
7	AG112	0.107320	-0.135767	0.118333	0.012126	0.169589
8	AG112	0.133005	-0.078944	0.169147	-0.000156	0.039901
9	AG112	0.155086	0.091723	-0.023860	0.003700	0.138693
10	AG112	0.081105	0.135268	-0.004527	-0.012929	0.092317
1	AG139	-0.014835	0.200838	-0.215975	-0.002924	-0.198763
2	AG139	0.015795	0.159517	-0.078175	-0.004261	-0.115177
3	AG139	-0.037134	0.101523	0.157779	-0.015230	-0.111820
4	AG139	-0.064851	0.151981	0.124640	0.013829	-0.048183
5	AG139	0.041055	-0.044673	-0.196398	-0.010153	-0.069694
6	AG139	-0.000029	-0.088334	-0.257102	0.009817	0.022922
7	AG139	-0.045064	0.170212	-0.076599	0.001586	0.003757
8	AG139	-0.051464	-0.021423	0.221465	0.004544	0.044563
9	AG139	-0.022593	0.058802	0.004454	0.010281	0.125128
10	AG139	-0.003344	0.015115	-0.192281	0.006475	-0.048832
1	AG142	0.148605	0.202132	-0.018139	0.005153	-0.003039
2	AG142	0.171311	0.213517	-0.071425	-0.036202	-0.134085
3	AG142	0.167628	-0.124735	-0.109853	-0.026973	-0.008535
4	AG142	0.136726	0.201077	0.261852	0.011833	-0.130279
5	AG142	0.170739	0.197661	-0.108633	0.002259	0.074953
6	AG142	0.103866	0.230817	0.175212	-0.011913	-0.197358
7	AG142	0.135034	0.062496	-0.033761	-0.001288	0.033013
8	AG142	0.156340	0.208853	0.022062	-0.016041	-0.183033
9	AG142	0.085674	0.155024	0.119865	-0.007609	0.019398
10	AG142	0.146114	0.204562	0.100208	-0.008647	-0.246157
1	GD14	0.017295	-0.006638	0.059019	0.001292	0.188720
2	GD14	0.016318	-0.141423	0.249206	-0.013234	0.214521
3	GD14	-0.008243	0.023210	0.025549	0.006344	0.186293
4	GD14	0.019165	0.013358	-0.056140	0.001036	0.189698
5	GD14	-0.002082	-0.077948	0.078336	-0.018701	0.312002
6	GD14	0.008729	0.010580	0.018045	-0.014230	0.262353
7	GD14	0.004443	-0.098648	-0.083105	-0.014369	0.189804
8	GD14	0.003756	0.058991	0.174997	0.009326	0.239733
9	GD14	0.001494	0.165422	0.160630	-0.007438	0.188117
10	GD14	0.014055	-0.069688	0.094364	0.005784	0.190042
1	GD15	-0.017286	-0.406654	0.141845	0.000037	0.027073
2	GD15	-0.007415	-0.050261	0.105392	0.012299	-0.043490
3	GD15	0.005955	0.080065	-0.013772	-0.000437	-0.065870
4	GD15	0.033155	0.156042	-0.184800	-0.012338	-0.174635
5	GD15	-0.007562	-0.220138	0.132071	-0.013070	-0.018094
6	GD15	0.008211	-0.093770	-0.095844	0.015912	-0.059677
7	GD15	-0.028998	-0.310016	0.158591	0.010467	0.078443
8	GD15	-0.009464	0.066822	-0.116443	-0.005158	-0.113621
9	GD15	0.008899	0.086067	0.023611	0.001850	-0.183958
10	GD15	-0.010377	-0.066394	0.070484	0.004469	0.071076
1	GD16	-0.249446	-0.146337	0.015296	-0.025209	-0.043182
2	GD16	-0.236829	0.173422	0.173709	-0.010628	-0.250074
3	GD16	-0.239198	-0.035105	0.176213	0.001737	-0.015605
4	GD16	-0.230489	-0.128471	-0.044079	-0.012521	-0.035557
5	GD16	-0.209049	-0.043681	-0.197640	0.007420	0.017450
6	GD16	-0.210756	-0.057903	0.055914	-0.010889	-0.043285
7	GD16	-0.250724	-0.195725	-0.000535	-0.017894	0.060328
8	GD16	-0.204299	0.298189	-0.004143	-0.000574	-0.177202
9	GD16	-0.188744	0.210049	-0.084920	0.004629	-0.139505
10	GD16	-0.275595	0.011475	-0.120392	0.008303	-0.037266
