rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.634072	0.150956	7.550031	9.530677	0.333652
2	AG111	0.595827	0.192711	7.558021	9.506537	0.230426
3	AG111	0.614929	0.163112	7.788145	9.607453	0.013856
4	AG111	0.681521	0.201118	7.615677	9.661998	0.225130
5	AG111	0.609071	0.184206	7.830947	9.731107	0.156185
6	AG111	0.586755	0.194651	7.498429	9.502477	0.207478
7	AG111	0.563788	0.194837	7.858321	9.549795	0.119080
8	AG111	0.617121	0.155770	7.577427	9.565882	0.209444
9	AG111	0.630767	0.183472	7.806086	9.577234	0.183915
10	AG111	0.614347	0.188621	7.654671	9.545782	0.216607
1	AG112	0.740331	0.264644	7.805044	9.529535	0.281495
2	AG112	0.702283	0.242688	7.608691	9.614994	0.441073
3	AG112	0.762263	0.225247	7.548679	9.644193	0.450558
4	AG112	0.746644	0.192949	7.685202	9.464128	0.420047
5	AG112	0.689962	0.327797	7.569257	9.474158	0.363226
6	AG112	0.794147	0.242664	7.613357	9.466471	0.275566
7	AG112	0.718908	0.202008	7.802473	9.649608	0.451213
8	AG112	0.744594	0.213819	7.853286	9.531811	0.321524
9	AG112	0.766675	0.253610	7.660279	9.568641	0.420317
10	AG112	0.692693	0.264898	7.679613	9.410841	0.373941
1	AG139	0.596753	0.282849	7.468165	9.505465	0.082861
2	AG139	0.627383	0.271400	7.605964	9.492766	0.166446
3	AG139	0.574454	0.256108	7.841918	9.389206	0.169804
4	AG139	0.546737	0.269362	7.808780	9.666055	0.233441
5	AG139	0.652643	0.221274	7.487741	9.437001	0.211929
6	AG139	0.611560	0.211821	7.427038	9.627348	0.304546
7	AG139	0.566524	0.274318	7.607541	9.548431	0.285381
8	AG139	0.560125	0.226479	7.905605	9.576718	0.326187
9	AG139	0.588995	0.245397	7.688594	9.631814	0.406752
10	AG139	0.608244	0.234907	7.491859	9.595230	0.232791
1	AG142	0.760193	0.283215	7.666001	9.582555	0.278585
2	AG142	0.782900	0.286458	7.612715	9.194346	0.147539
3	AG142	0.779216	0.204249	7.574286	9.279598	0.273088
4	AG142	0.748314	0.282917	7.945991	9.646777	0.151345
5	AG142	0.782327	0.281952	7.575507	9.554858	0.356577
6	AG142	0.715454	0.291457	7.859352	9.420405	0.084266
7	AG142	0.746622	0.246305	7.650379	9.521028	0.314637
8	AG142	0.767929	0.285126	7.706201	9.381592	0.098591
9	AG142	0.697262	0.270183	7.804004	9.461039	0.301021
10	AG142	0.757702	0.283905	7.784348	9.451217	0.035466
1	GD14	0.628884	0.229853	7.743159	9.545622	0.470343
2	GD14	0.627906	0.200869	7.933346	9.407970	0.496145
3	GD14	0.603345	0.236817	7.709689	9.593970	0.467917
4	GD14	0.630753	0.234495	7.628000	9.543177	0.471322
5	GD14	0.609506	0.214033	7.762476	9.356670	0.593625
6	GD14	0.620317	0.233844	7.702185	9.398598	0.543976
7	GD14	0.616032	0.209648	7.601035	9.397293	0.471428
8	GD14	0.615345	0.245444	7.859136	9.622627	0.521356
9	GD14	0.613082	0.273007	7.844770	9.462654	0.469741
10	GD14	0.625643	0.215808	7.778504	9.588598	0.471665
1	GD15	0.594302	0.154072	7.825984	9.533651	0.308697
2	GD15	0.604174	0.220041	7.789532	9.651271	0.238134
3	GD15	0.617543	0.250671	7.670368	9.529130	0.215753
4	GD15	0.644743	0.270458	7.499340	9.416404	0.106988
5	GD15	0.604026	0.185664	7.816211	9.409514	0.263529
6	GD15	0.619799	0.210673	7.588296	9.686210	0.221946
7	GD15	0.582590	0.169705	7.842730	9.633610	0.360067
8	GD15	0.602125	0.247373	7.567697	9.484250	0.168003
9	GD15	0.620487	0.252180	7.707751	9.550955	0.097665
10	GD15	0.601211	0.216520	7.754624	9.576002	0.352700
1	GD16	0.362142	0.199884	7.699436	9.295980	0.238441
2	GD16	0.374759	0.275200	7.857849	9.432518	0.031550
3	GD16	0.372390	0.223402	7.860353	9.549873	0.266019
4	GD16	0.381099	0.203488	7.640061	9.414677	0.246066
5	GD16	0.402539	0.221494	7.486500	9.604297	0.299073
6	GD16	0.400832	0.218366	7.740053	9.430055	0.238339
7	GD16	0.360865	0.190252	7.683605	9.364230	0.341951
8	GD16	0.407289	0.311770	7.679996	9.527831	0.104421
9	GD16	0.422845	0.285467	7.599220	9.577531	0.142118
10	GD16	0.335993	0.234054	7.563748	9.612787	0.244357
