parameter	value	se_sa	rse_sa
rhoS_pop	0.61347641624853988	0.04633049955341704	7.55212398167348642
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.35344099367133808	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.25716264778499859	0.05004011330856342	19.45854646449260628
omega_rhoS	0.11901140534200670	0.03368704568539527	28.30572884051556315
omega_deltaSC	0.26131256749284126	0.15640207438384043	59.85248849086644896
omega_deltaCB	0.08695539819012918	0.03734928500460557	42.95223273308558021
omega_rhoB	0.04306224718209851	0.07549687161666631	175.32032477871069887
b1	0.16381683322018484	0.02168386144257988	13.23665035902310549
b2	0.17834540792790821	0.02332842309258586	13.08047309074299669
b3	0.27438510252787640	0.04808198464872523	17.52354052962489206
