rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	22556.864675	21460.587263
2	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23570.212793	24245.464474
3	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	19607.940778	21440.549969
4	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23222.793587	21692.595514
5	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	21887.718084	21960.941391
6	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	25395.234035	22629.447142
7	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23491.481740	22932.858874
8	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	20231.549124	19544.228844
9	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	25003.420056	21916.726634
10	AG111	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	21316.695788	21203.977568
1	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	30517.266434	34716.941915
2	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	26426.903366	32316.245019
3	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	30031.759530	31273.003437
4	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	29645.106401	28755.470812
5	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	30607.005387	30475.382985
6	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	26652.649365	30793.590201
7	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	29821.333485	31134.018183
8	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	28396.966411	35469.768339
9	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	33117.179924	27225.938296
10	AG112	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	27793.074130	28441.700800
1	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	18234.009032	26354.024080
2	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	21204.168238	23761.688732
3	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	25170.914108	25192.599213
4	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	24038.319634	22629.045552
5	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	21852.745827	22285.194703
6	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	19612.484215	21513.394906
7	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	19690.500010	22078.435961
8	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	21252.095431	23032.774283
9	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	18736.048827	25325.743139
10	AG139	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23231.527786	23799.337385
1	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	24921.762412	29671.497189
2	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	25941.909779	30828.287065
3	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	29254.035812	34227.118361
4	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	32846.957115	31024.116743
5	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	30872.922926	33752.236303
6	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	28507.205193	37689.638808
7	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	31943.110965	31828.508050
8	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	29211.101201	31734.642164
9	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	27117.523125	30620.475445
10	AG142	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	29008.490841	31174.411480
1	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	22456.816194	31707.998004
2	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23273.188560	30734.409661
3	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	25056.902228	34621.141001
4	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	22716.340965	28778.951320
5	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	21661.762305	34017.664228
6	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23229.429947	31719.340789
7	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23408.812892	31100.792078
8	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	27314.293361	28112.632089
9	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	19630.946926	35769.009072
10	GD14	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23986.939288	30583.444691
1	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23600.880016	21960.531653
2	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	23785.924660	20687.009117
3	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	20767.060267	22385.582890
4	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	19580.431850	20874.050328
5	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	25075.904080	21808.530454
6	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	22384.969491	19866.374173
7	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	19846.021428	22262.237037
8	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	22789.152636	20457.115549
9	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	25549.070230	21917.313752
10	GD15	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	22108.571037	21691.088447
1	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	17940.369597	22623.061284
2	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	16231.917391	21531.688554
3	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	17467.709805	19945.836925
4	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	14669.085437	20709.285987
5	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	20315.169488	19061.176097
6	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	15564.735697	17701.068615
7	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	16311.066589	20707.451454
8	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	18656.162034	19959.113507
9	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	20884.036642	19833.057640
10	GD16	0.646081	0.000000	3.047424	0.000000	0.000000	0.219707	18027.581272	19541.590511
