rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.604057	-0.322503	3.021654	0.000000	-0.126778	-0.214529	23163.848983	24830.137402
2	AG111	0.668420	-0.050847	3.021654	0.000000	-0.025585	-0.214529	23442.917086	26166.070097
3	AG111	0.645446	-0.480862	3.021654	0.000000	-0.177973	-0.214529	23345.345337	23887.276216
4	AG111	0.603334	-0.295778	3.021654	0.000000	-0.143194	-0.214529	23747.582877	24887.956654
5	AG111	0.597994	-0.053563	3.021654	0.000000	-0.157477	-0.214529	23016.886202	24299.565928
6	AG111	0.580698	-0.010052	3.021654	0.000000	-0.118375	-0.214529	23375.804146	24820.234067
7	AG111	0.616697	-0.066756	3.021654	0.000000	-0.088605	-0.214529	23830.865981	23982.511036
8	AG111	0.633274	-0.536034	3.021654	0.000000	-0.143984	-0.214529	23098.981879	25910.002850
9	AG111	0.624596	-0.510848	3.021654	0.000000	-0.185134	-0.214529	23041.069852	24616.471558
10	AG111	0.616599	-0.127260	3.021654	0.000000	-0.197154	-0.214529	23285.961042	23749.112408
1	AG112	0.778718	0.023140	3.021654	0.000000	-0.254000	-0.214529	23079.471416	25685.900050
2	AG112	0.738635	-0.094689	3.021654	0.000000	-0.295064	-0.214529	23431.099902	24907.604223
3	AG112	0.779390	0.078172	3.021654	0.000000	-0.274219	-0.214529	23981.407238	25683.575984
4	AG112	0.748606	0.660639	3.021654	0.000000	-0.182131	-0.214529	24002.939758	25985.723499
5	AG112	0.756286	0.203932	3.021654	0.000000	-0.144867	-0.214529	22795.341492	25450.086135
6	AG112	0.770576	-0.193729	3.021654	0.000000	-0.286782	-0.214529	23249.317718	24237.182440
7	AG112	0.762575	0.088893	3.021654	0.000000	-0.221477	-0.214529	23068.876271	25306.248041
8	AG112	0.791797	0.292333	3.021654	0.000000	-0.234368	-0.214529	23086.098689	25069.512274
9	AG112	0.744384	0.065923	3.021654	0.000000	-0.272888	-0.214529	23088.904020	25640.345853
10	AG112	0.734264	0.140245	3.021654	0.000000	-0.246051	-0.214529	23087.123924	24547.980476
1	AG139	0.614250	-0.012004	3.021654	0.000000	-0.139874	-0.214529	23498.542174	25735.852036
2	AG139	0.613341	-0.039782	3.021654	0.000000	-0.177357	-0.214529	22906.315828	24611.850918
3	AG139	0.585400	0.250751	3.021654	0.000000	-0.171345	-0.214529	23926.953538	26399.333314
4	AG139	0.607928	0.242468	3.021654	0.000000	-0.087763	-0.214529	23397.002225	25720.362798
5	AG139	0.577147	0.253874	3.021654	0.000000	-0.154601	-0.214529	23468.263704	25750.458164
6	AG139	0.588188	0.096169	3.021654	0.000000	-0.154227	-0.214529	23605.450463	24797.554226
7	AG139	0.605061	0.075515	3.021654	0.000000	-0.117039	-0.214529	23745.740458	25313.424006
8	AG139	0.628431	-0.034610	3.021654	0.000000	-0.130902	-0.214529	23277.261935	24345.682433
9	AG139	0.589630	0.061561	3.021654	0.000000	-0.167906	-0.214529	24055.577841	26542.501680
10	AG139	0.608695	0.261169	3.021654	0.000000	-0.120446	-0.214529	23361.142282	23795.293612
1	AG142	0.811011	0.337175	3.021654	0.000000	-0.181883	-0.214529	23225.340447	24393.542128
2	AG142	0.764744	0.508304	3.021654	0.000000	-0.173845	-0.214529	23462.938320	24617.732481
3	AG142	0.733882	0.867440	3.021654	0.000000	-0.188898	-0.214529	23687.864598	23796.142474
4	AG142	0.786127	0.314439	3.021654	0.000000	-0.154227	-0.214529	23596.973243	25547.763847
5	AG142	0.766719	0.715390	3.021654	0.000000	-0.153780	-0.214529	23651.251959	25510.613344
6	AG142	0.798204	0.273211	3.021654	0.000000	-0.189141	-0.214529	23562.886699	24810.987599
7	AG142	0.752458	0.803593	3.021654	0.000000	-0.220751	-0.214529	23045.092054	25894.765991
8	AG142	0.759709	0.495031	3.021654	0.000000	-0.153542	-0.214529	23337.544134	25499.029041
9	AG142	0.756627	0.639251	3.021654	0.000000	-0.202358	-0.214529	23575.593093	25496.016613
10	AG142	0.756198	0.346923	3.021654	0.000000	-0.215489	-0.214529	23867.341947	25210.444452
1	GD14	0.644719	-0.541000	3.021654	0.000000	-0.523782	-0.214529	23177.450329	24048.176374
2	GD14	0.617369	-0.053723	3.021654	0.000000	-0.290108	-0.214529	23301.710649	24915.096646
3	GD14	0.594980	-0.036911	3.021654	0.000000	-0.330924	-0.214529	23254.008062	25121.751615
