rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.605742	0.202899	4.623622	5.876593	0.344449
2	AG111	0.609856	0.160571	4.759285	5.755249	0.230192
3	AG111	0.609411	0.249937	4.848623	6.080300	0.245292
4	AG111	0.554118	0.263053	4.937008	5.775435	0.279782
5	AG111	0.604218	0.235580	4.828466	6.142676	0.216678
6	AG111	0.586289	0.162459	4.738547	5.979220	0.264012
7	AG111	0.623072	0.197531	4.752821	5.971268	0.164003
8	AG111	0.617136	0.207438	5.052664	5.793024	0.092450
9	AG111	0.608484	0.224370	4.805774	5.755504	0.219646
10	AG111	0.556542	0.362353	4.705965	5.642135	0.142970
1	AG112	0.743157	0.245494	4.791586	5.605828	0.421260
2	AG112	0.746799	0.269388	4.617558	5.755015	0.367351
3	AG112	0.764546	0.266263	4.668076	5.627770	0.391625
4	AG112	0.774107	0.330678	4.966454	5.821790	0.198082
5	AG112	0.760546	0.320043	4.742682	5.897245	0.346925
6	AG112	0.766089	0.257088	4.918168	5.757073	0.224512
7	AG112	0.760109	0.277549	4.923500	5.746483	0.365746
8	AG112	0.753548	0.246531	4.915150	5.601835	0.395004
9	AG112	0.775958	0.530309	4.857481	6.035202	0.260115
10	AG112	0.745174	0.290162	4.565118	5.914317	0.380720
1	AG139	0.654097	0.320699	4.836908	5.915110	0.103627
2	AG139	0.587557	0.265467	4.809322	5.836961	0.354658
3	AG139	0.546648	0.282628	4.787361	5.881843	0.364540
4	AG139	0.604029	0.334920	4.986694	6.085015	0.123907
5	AG139	0.545697	0.340377	4.862455	5.908277	0.357479
6	AG139	0.543138	0.410395	4.675622	5.900146	0.319578
7	AG139	0.581093	0.286480	4.853857	5.672194	0.164903
8	AG139	0.601308	0.302016	4.754212	5.869491	0.290306
9	AG139	0.568235	0.242891	4.960681	5.625268	0.310537
10	AG139	0.604786	0.323644	4.577626	5.688289	0.290471
1	AG142	0.732558	0.384931	4.747363	5.670620	0.226123
2	AG142	0.713626	0.420473	4.896822	5.908308	0.247790
3	AG142	0.698628	0.333755	4.984250	5.944105	0.196291
4	AG142	0.725538	0.408478	4.508614	5.807609	0.324723
5	AG142	0.735189	0.322735	4.702158	5.873370	0.295149
6	AG142	0.719744	0.625966	4.721479	5.632113	0.211334
7	AG142	0.788935	0.359073	4.903739	5.729939	0.177117
8	AG142	0.768346	0.356430	5.040332	6.245142	0.315433
9	AG142	0.774504	0.476570	4.893032	5.607097	0.041621
10	AG142	0.712676	0.364157	4.909276	5.554371	0.128915
1	GD14	0.586469	0.349819	4.979419	5.504186	0.270283
2	GD14	0.614479	0.286884	4.882881	5.619680	0.440858
3	GD14	0.589971	0.260087	4.736029	5.744216	0.583405
4	GD14	0.643569	0.321614	4.944285	5.519452	0.311872
5	GD14	0.631144	0.235201	5.060814	5.534841	0.335275
6	GD14	0.666333	0.226501	5.154181	5.617075	0.348215
7	GD14	0.646377	0.243566	4.829253	5.874212	0.612638
8	GD14	0.635933	0.294118	4.811617	5.683090	0.317910
9	GD14	0.632794	0.253410	5.023334	5.448976	0.331999
10	GD14	0.686116	0.385420	4.559580	5.481859	0.401623
1	GD15	0.616240	0.330972	4.770012	5.685057	0.103658
2	GD15	0.615384	0.304296	4.585405	5.699753	0.211186
3	GD15	0.572502	0.258203	4.832110	5.752850	0.359076
4	GD15	0.608600	0.255276	4.666503	5.913246	0.359490
5	GD15	0.622120	0.267099	4.929396	5.744016	0.162844
6	GD15	0.635043	0.295671	4.737403	5.944809	0.114973
7	GD15	0.640300	0.221462	4.771762	5.708162	0.274727
8	GD15	0.582337	0.264364	4.707217	5.625792	0.267335
9	GD15	0.661595	0.259343	4.728300	5.672850	0.114108
10	GD15	0.590751	0.262981	4.926849	5.705502	0.175711
1	GD16	0.357611	0.238547	5.006649	5.873151	0.162176
2	GD16	0.344636	0.244778	4.958525	5.818810	0.245299
3	GD16	0.356578	0.307385	4.683251	5.811606	0.267998
4	GD16	0.338635	0.276870	4.771642	5.728823	0.315640
5	GD16	0.378074	0.355772	4.810856	5.849389	0.196951
6	GD16	0.382021	0.246805	4.779803	5.624858	0.231755
7	GD16	0.399881	0.263802	5.058298	5.836809	0.137407
8	GD16	0.402960	0.353653	4.749835	5.624260	0.201668
9	GD16	0.434799	0.276424	4.849987	5.905568	0.239415
10	GD16	0.393882	0.263863	4.659162	5.677137	0.182844
