parameter	value	se_sa	rse_sa
rhoS_pop	0.61301158376722165	0.04604478212465020	7.51124176833414392
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.98662182967743695	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.24554486775793796	nan	nan
omega_rhoS	0.11855838239021373	0.03357186190062859	28.31673410500221877
omega_deltaSC	0.23997989155655242	0.15075790981334930	62.82105922938233533
omega_rhoC	0.10195834622010407	0.39454547193552114	386.96731220393701278
omega_deltaCB	0.07776126874564576	0.05265330506338384	67.71147887981466340
b1	0.16412752430160674	0.02175263018365924	13.25349314578449977
b2	0.17732370933512040	0.02317715484932567	13.07053350972014805
b3	0.27895596976524006	0.04948899782229513	17.74079180450714333
