rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.026928	-0.140978	0.000000	0.000000	-0.151806	0.000000
2	AG111	-0.045751	-0.352714	0.000000	0.000000	-0.140003	0.000000
3	AG111	0.008596	-0.324374	0.000000	0.000000	-0.131216	0.000000
4	AG111	0.004270	-0.312260	0.000000	0.000000	-0.028672	0.000000
5	AG111	-0.020817	-0.436099	0.000000	0.000000	-0.104968	0.000000
6	AG111	-0.030383	-0.036836	0.000000	0.000000	-0.155304	0.000000
7	AG111	0.003402	-0.464152	0.000000	0.000000	-0.137645	0.000000
8	AG111	-0.019892	-0.490574	0.000000	0.000000	-0.154781	0.000000
9	AG111	-0.032418	-0.346132	0.000000	0.000000	-0.168388	0.000000
10	AG111	0.012087	0.070272	0.000000	0.000000	-0.074437	0.000000
1	AG112	0.086989	0.325551	0.000000	0.000000	-0.244150	0.000000
2	AG112	0.148173	0.029396	0.000000	0.000000	-0.215076	0.000000
3	AG112	0.161725	0.108069	0.000000	0.000000	-0.246308	0.000000
4	AG112	0.175803	0.206628	0.000000	0.000000	-0.299110	0.000000
5	AG112	0.113037	-0.045883	0.000000	0.000000	-0.288699	0.000000
6	AG112	0.148241	0.255264	0.000000	0.000000	-0.183905	0.000000
7	AG112	0.118944	0.178562	0.000000	0.000000	-0.261029	0.000000
8	AG112	0.139518	-0.082341	0.000000	0.000000	-0.249129	0.000000
9	AG112	0.150183	0.106546	0.000000	0.000000	-0.238620	0.000000
10	AG112	0.146716	-0.013422	0.000000	0.000000	-0.277297	0.000000
1	AG139	-0.008410	0.339261	0.000000	0.000000	-0.142381	0.000000
2	AG139	-0.010223	0.033796	0.000000	0.000000	-0.164844	0.000000
3	AG139	-0.060338	-0.037779	0.000000	0.000000	-0.198226	0.000000
4	AG139	-0.002920	0.351145	0.000000	0.000000	-0.089067	0.000000
5	AG139	-0.048219	0.257585	0.000000	0.000000	-0.162892	0.000000
6	AG139	-0.048820	0.216231	0.000000	0.000000	-0.195885	0.000000
7	AG139	0.041854	0.102533	0.000000	0.000000	-0.171241	0.000000
8	AG139	-0.022071	0.096513	0.000000	0.000000	-0.137559	0.000000
9	AG139	-0.068536	0.239103	0.000000	0.000000	-0.186128	0.000000
10	AG139	-0.045087	0.253181	0.000000	0.000000	-0.166637	0.000000
1	AG142	0.098743	0.385148	0.000000	0.000000	-0.228470	0.000000
2	AG142	0.134658	0.534207	0.000000	0.000000	-0.153985	0.000000
3	AG142	0.147215	0.517005	0.000000	0.000000	-0.196867	0.000000
4	AG142	0.083829	0.481026	0.000000	0.000000	-0.186470	0.000000
5	AG142	0.142220	0.326976	0.000000	0.000000	-0.211259	0.000000
6	AG142	0.125284	0.406329	0.000000	0.000000	-0.164518	0.000000
7	AG142	0.171197	0.606759	0.000000	0.000000	-0.122300	0.000000
8	AG142	0.119965	0.479786	0.000000	0.000000	-0.205287	0.000000
9	AG142	0.165539	0.473501	0.000000	0.000000	-0.137204	0.000000
10	AG142	0.144283	0.629738	0.000000	0.000000	-0.185381	0.000000
1	GD14	0.000093	0.020602	0.000000	0.000000	-0.216126	0.000000
2	GD14	-0.047727	-0.051490	0.000000	0.000000	-0.319083	0.000000
3	GD14	0.000522	-0.184827	0.000000	0.000000	-0.292954	0.000000
4	GD14	0.012086	-0.084914	0.000000	0.000000	-0.286264	0.000000
5	GD14	0.008870	0.018428	0.000000	0.000000	-0.301785	0.000000
6	GD14	0.063924	0.055268	0.000000	0.000000	-0.239793	0.000000
7	GD14	0.004308	0.272831	0.000000	0.000000	-0.267186	0.000000
8	GD14	0.027440	0.201343	0.000000	0.000000	-0.232937	0.000000
9	GD14	-0.007343	-0.107294	0.000000	0.000000	-0.323469	0.000000
10	GD14	-0.018677	-0.031305	0.000000	0.000000	-0.297712	0.000000
1	GD15	0.015802	0.115029	0.000000	0.000000	-0.125930	0.000000
2	GD15	-0.047028	-0.165040	0.000000	0.000000	-0.199052	0.000000
3	GD15	0.013988	0.100683	0.000000	0.000000	-0.159456	0.000000
4	GD15	-0.031290	-0.048617	0.000000	0.000000	-0.167833	0.000000
5	GD15	-0.022740	-0.095158	0.000000	0.000000	-0.173793	0.000000
6	GD15	-0.012205	0.051677	0.000000	0.000000	-0.168242	0.000000
7	GD15	-0.019135	-0.081283	0.000000	0.000000	-0.128033	0.000000
8	GD15	-0.031606	-0.043677	0.000000	0.000000	-0.158503	0.000000
9	GD15	-0.020884	0.031585	0.000000	0.000000	-0.163794	0.000000
10	GD15	0.042715	-0.020119	0.000000	0.000000	-0.159723	0.000000
1	GD16	-0.250119	-0.131615	0.000000	0.000000	-0.111636	0.000000
2	GD16	-0.218196	0.156562	0.000000	0.000000	-0.107940	0.000000
3	GD16	-0.220648	0.083462	0.000000	0.000000	-0.142521	0.000000
4	GD16	-0.251731	0.030194	0.000000	0.000000	-0.148902	0.000000
5	GD16	-0.269347	-0.001533	0.000000	0.000000	-0.100603	0.000000
6	GD16	-0.233563	0.160285	0.000000	0.000000	-0.110085	0.000000
7	GD16	-0.263718	-0.035059	0.000000	0.000000	-0.119549	0.000000
8	GD16	-0.228642	0.162019	0.000000	0.000000	-0.087813	0.000000
9	GD16	-0.219887	0.045236	0.000000	0.000000	-0.135079	0.000000
10	GD16	-0.240043	0.317818	0.000000	0.000000	-0.104899	0.000000
