rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.585842	-0.079430	0.790714	0.001025	-0.041478	0.630398
2	AG111	0.580643	-0.474775	0.790714	-0.096876	0.022728	0.759013
3	AG111	0.561363	-0.040039	0.790714	-0.029519	-0.200343	0.658183
4	AG111	0.659620	-0.432081	0.790714	-0.008389	-0.034833	0.674811
5	AG111	0.544007	-0.216149	0.790714	-0.033706	-0.246810	0.661534
6	AG111	0.626433	-0.032191	0.790714	0.048805	-0.380246	0.631032
7	AG111	0.634906	-0.366932	0.790714	-0.039662	-0.187716	0.773920
8	AG111	0.542035	-0.021449	0.790714	-0.023698	-0.268599	0.674096
9	AG111	0.622314	-0.039019	0.790714	-0.065308	-0.070473	0.747900
10	AG111	0.583064	-0.036367	0.790714	-0.200014	0.310210	0.737852
1	AG112	0.768427	0.088809	0.790714	0.270212	0.152234	0.672711
2	AG112	0.732032	-0.234866	0.790714	0.619172	1.131017	0.650380
3	AG112	0.777806	-0.245782	0.790714	0.368457	1.041527	0.658843
4	AG112	0.761980	-0.230753	0.790714	0.292781	0.330226	0.743046
5	AG112	0.763954	-0.242486	0.790714	0.177714	0.613057	0.822176
6	AG112	0.739043	-0.488267	0.790714	0.342546	0.443555	0.650570
7	AG112	0.766524	-0.095494	0.790714	0.378301	0.761456	0.711796
8	AG112	0.694817	0.063343	0.790714	0.536870	1.599639	0.703303
9	AG112	0.724465	0.120006	0.790714	0.431149	0.375653	0.620771
10	AG112	0.704555	-0.174418	0.790714	0.135612	0.294180	0.803028
1	AG139	0.575990	-0.069555	0.790714	0.159248	0.896960	0.640494
2	AG139	0.598233	0.061490	0.790714	-0.200025	0.406153	0.808928
3	AG139	0.573104	-0.158412	0.790714	-0.023596	0.513302	0.646682
4	AG139	0.596378	-0.052732	0.790714	-0.087103	0.831235	0.697650
5	AG139	0.572266	0.160370	0.790714	0.020048	0.497817	0.670520
6	AG139	0.557657	-0.109552	0.790714	0.188045	0.815182	0.683954
7	AG139	0.563970	-0.163947	0.790714	0.182884	0.415899	0.668070
8	AG139	0.604226	-0.351764	0.790714	0.309089	0.746839	0.648724
9	AG139	0.571369	0.036889	0.790714	0.060106	0.924390	0.615469
10	AG139	0.582668	0.268666	0.790714	0.032367	0.302688	0.695700
1	AG142	0.753071	-0.012498	0.790714	0.280791	0.897046	0.689789
2	AG142	0.746720	0.247087	0.790714	0.126883	0.562659	0.743276
3	AG142	0.748262	-0.079494	0.790714	0.319652	0.999101	0.681002
4	AG142	0.736233	0.044516	0.790714	0.285073	1.097094	0.717208
5	AG142	0.748063	0.257534	0.790714	0.350675	1.065986	0.620822
6	AG142	0.772822	-0.102875	0.790714	0.226788	0.862262	0.722809
7	AG142	0.697285	0.148577	0.790714	0.145627	1.447222	0.796627
8	AG142	0.744239	-0.216463	0.790714	0.687265	1.575676	0.665942
9	AG142	0.781715	-0.268471	0.790714	0.247722	1.213764	0.739535
10	AG142	0.735919	0.055186	0.790714	0.541755	1.340938	0.699966
1	GD14	0.631852	0.211424	0.790714	0.156712	0.422551	0.756223
2	GD14	0.639773	0.304676	0.790714	0.184030	0.427737	0.764787
3	GD14	0.596698	-0.010866	0.790714	0.228383	0.866994	0.738322
4	GD14	0.654549	0.117226	0.790714	0.405019	0.874124	0.691578
5	GD14	0.609381	-0.129063	0.790714	0.221407	0.635352	0.741596
6	GD14	0.627700	-0.047318	0.790714	0.121134	0.703584	0.720288
7	GD14	0.621884	-0.030418	0.790714	0.333606	0.269488	0.675650
8	GD14	0.631045	-0.226555	0.790714	-0.076843	0.858517	0.893999
9	GD14	0.588555	0.048851	0.790714	0.386376	0.614327	0.764813
10	GD14	0.637235	0.075607	0.790714	0.175068	0.566083	0.747758
1	GD15	0.667939	0.023804	0.790714	0.066100	1.403507	0.665260
2	GD15	0.651545	-0.093935	0.790714	0.135560	0.711250	0.523702
3	GD15	0.616445	-0.162560	0.790714	-0.042707	0.454531	0.687231
4	GD15	0.631983	0.143914	0.790714	0.022724	0.921290	0.696407
5	GD15	0.615925	0.219413	0.790714	0.061996	0.778520	0.693624
6	GD15	0.570550	0.016958	0.790714	-0.089267	0.739113	0.640932
7	GD15	0.656268	-0.210370	0.790714	-0.259869	0.376652	0.814396
8	GD15	0.607400	-0.118526	0.790714	-0.011166	0.775572	0.630342
9	GD15	0.604930	-0.068570	0.790714	-0.166747	0.700918	0.759980
10	GD15	0.611010	0.225743	0.790714	-0.031135	0.721262	0.619449
1	GD16	0.366610	-0.112890	0.790714	-0.227578	0.885213	0.711914
2	GD16	0.407605	-0.018090	0.790714	-0.107441	1.656362	0.581387
3	GD16	0.423794	0.282372	0.790714	-0.264308	0.925984	0.610580
4	GD16	0.417093	0.012174	0.790714	-0.488579	1.852287	0.642163
5	GD16	0.344946	-0.077013	0.790714	0.156283	1.766155	0.659996
6	GD16	0.360992	0.246488	0.790714	-0.078244	1.044650	0.554513
7	GD16	0.376938	0.300547	0.790714	-0.140595	0.911878	0.634774
8	GD16	0.339438	0.022505	0.790714	-0.433558	0.703760	0.704758
9	GD16	0.375633	0.203287	0.790714	-0.165096	0.616551	0.568842
10	GD16	0.388365	0.214837	0.790714	-0.038361	0.085040	0.562550
