rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	0.033417	-0.288321	0.000000	0.000000	-0.019004	0.000000
2	AG111	-0.034882	-0.336912	0.000000	0.000000	-0.007308	0.000000
3	AG111	0.005567	-0.543427	0.000000	0.000000	-0.021385	0.000000
4	AG111	0.035945	-0.686743	0.000000	0.000000	0.026171	0.000000
5	AG111	0.009473	0.269931	0.000000	0.000000	-0.113061	0.000000
6	AG111	-0.009418	-0.492464	0.000000	0.000000	0.094830	0.000000
7	AG111	0.029979	-0.386847	0.000000	0.000000	0.067539	0.000000
8	AG111	-0.024309	-0.035247	0.000000	0.000000	0.027709	0.000000
9	AG111	-0.036752	-0.328588	0.000000	0.000000	0.042640	0.000000
10	AG111	-0.059958	-0.431186	0.000000	0.000000	-0.182733	0.000000
1	AG112	0.128026	-0.144370	0.000000	0.000000	-0.269208	0.000000
2	AG112	0.108350	0.252685	0.000000	0.000000	-0.353113	0.000000
3	AG112	0.103235	0.360450	0.000000	0.000000	-0.403563	0.000000
4	AG112	0.115459	0.255267	0.000000	0.000000	-0.346181	0.000000
5	AG112	0.160421	0.181423	0.000000	0.000000	-0.369582	0.000000
6	AG112	0.171006	0.035813	0.000000	0.000000	-0.287761	0.000000
7	AG112	0.205273	0.046175	0.000000	0.000000	-0.264860	0.000000
8	AG112	0.113583	0.412986	0.000000	0.000000	-0.312534	0.000000
9	AG112	0.130405	-0.096016	0.000000	0.000000	-0.341899	0.000000
10	AG112	0.128037	0.547269	0.000000	0.000000	-0.364072	0.000000
1	AG139	-0.022599	-0.047018	0.000000	0.000000	-0.009261	0.000000
2	AG139	-0.036446	0.680716	0.000000	0.000000	-0.248174	0.000000
3	AG139	-0.039631	0.212177	0.000000	0.000000	-0.038048	0.000000
4	AG139	-0.026418	0.123120	0.000000	0.000000	-0.015480	0.000000
5	AG139	-0.003737	-0.157078	0.000000	0.000000	-0.198749	0.000000
6	AG139	-0.062291	0.387104	0.000000	0.000000	0.066619	0.000000
7	AG139	0.034428	0.097508	0.000000	0.000000	-0.039082	0.000000
8	AG139	0.031900	-0.111164	0.000000	0.000000	-0.012555	0.000000
9	AG139	-0.071041	0.327285	0.000000	0.000000	-0.024139	0.000000
10	AG139	0.000015	0.083177	0.000000	0.000000	0.033981	0.000000
1	AG142	0.112424	0.603060	0.000000	0.000000	-0.272197	0.000000
2	AG142	0.087063	0.714408	0.000000	0.000000	-0.273936	0.000000
3	AG142	0.125929	0.610651	0.000000	0.000000	-0.088394	0.000000
4	AG142	0.157577	0.550647	0.000000	0.000000	-0.289749	0.000000
5	AG142	0.134641	0.516409	0.000000	0.000000	-0.253273	0.000000
6	AG142	0.128805	0.538705	0.000000	0.000000	-0.171778	0.000000
7	AG142	0.131932	0.550478	0.000000	0.000000	-0.175671	0.000000
8	AG142	0.164782	0.684130	0.000000	0.000000	-0.205979	0.000000
9	AG142	0.131770	0.537106	0.000000	0.000000	-0.189410	0.000000
10	AG142	0.181447	1.272237	0.000000	0.000000	-0.200935	0.000000
1	GD14	0.011016	0.362451	0.000000	0.000000	-0.319564	0.000000
2	GD14	-0.012974	0.096442	0.000000	0.000000	-0.357860	0.000000
3	GD14	-0.012864	0.299129	0.000000	0.000000	-0.462843	0.000000
4	GD14	0.001897	0.307723	0.000000	0.000000	-0.349609	0.000000
5	GD14	0.016707	0.185930	0.000000	0.000000	-0.362863	0.000000
6	GD14	-0.034735	0.174854	0.000000	0.000000	-0.483040	0.000000
7	GD14	0.052346	-0.250416	0.000000	0.000000	-0.394853	0.000000
8	GD14	0.023827	0.059504	0.000000	0.000000	-0.316601	0.000000
9	GD14	-0.013805	0.247330	0.000000	0.000000	-0.463221	0.000000
10	GD14	-0.004846	0.371022	0.000000	0.000000	-0.380288	0.000000
1	GD15	-0.052339	0.001118	0.000000	0.000000	-0.030158	0.000000
2	GD15	0.000546	0.445425	0.000000	0.000000	-0.023325	0.000000
3	GD15	-0.000558	0.145415	0.000000	0.000000	0.094915	0.000000
4	GD15	-0.035132	0.028931	0.000000	0.000000	-0.073902	0.000000
5	GD15	-0.038227	-0.093026	0.000000	0.000000	0.000609	0.000000
6	GD15	-0.015294	0.194789	0.000000	0.000000	0.100310	0.000000
7	GD15	-0.028963	0.064222	0.000000	0.000000	0.010730	0.000000
8	GD15	0.000030	0.117415	0.000000	0.000000	0.056865	0.000000
9	GD15	-0.038665	0.166884	0.000000	0.000000	0.026781	0.000000
10	GD15	-0.021892	0.034147	0.000000	0.000000	0.010732	0.000000
1	GD16	-0.228564	0.244600	0.000000	0.000000	0.072406	0.000000
2	GD16	-0.245424	0.182618	0.000000	0.000000	0.152559	0.000000
3	GD16	-0.217700	0.099047	0.000000	0.000000	0.029362	0.000000
4	GD16	-0.217400	0.210507	0.000000	0.000000	0.260580	0.000000
5	GD16	-0.224800	-0.052030	0.000000	0.000000	0.115930	0.000000
6	GD16	-0.233207	0.025755	0.000000	0.000000	0.052391	0.000000
7	GD16	-0.185324	0.169071	0.000000	0.000000	0.062305	0.000000
8	GD16	-0.177303	0.074646	0.000000	0.000000	0.149287	0.000000
9	GD16	-0.219090	0.250293	0.000000	0.000000	0.223136	0.000000
10	GD16	-0.250783	-0.177647	0.000000	0.000000	0.043450	0.000000
