rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	23557.524296	22624.196910
2	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	21349.318537	20474.106560
3	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	25685.363709	19349.168463
4	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	23058.994840	20987.744736
5	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	24600.835229	22012.380650
6	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	20182.740970	23183.296942
7	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	23147.627448	22271.962273
8	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	22496.089623	22919.853468
9	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	20459.755815	27165.568582
10	AG111	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	21837.206680	21000.852091
1	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	27493.590649	29799.631209
2	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	29170.630223	30798.123898
3	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	29603.966886	34835.970575
4	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	28718.884324	29573.207515
5	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	30247.790495	31660.528777
6	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	29544.392862	27900.922465
7	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	31032.352835	30463.897250
8	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	29712.258219	30009.541691
9	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	25545.478449	35083.715691
10	AG112	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	31905.799058	31337.586050
1	AG139	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	20906.533801	22517.769427
2	AG139	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	24433.566304	22333.342957
3	AG139	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	20910.158999	22391.051251
4	AG139	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	20201.021134	21317.034365
5	AG139	0.648925	0.000000	3.063206	0.000000	0.000000	0.221782	18710.612584	29016.408966
